Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
Forma Blueprint,Uncommon (23.33%)
,
Neo D2 Relic (Flawless),Neo D2 Relic (Flawless)
Dethcube Prime Cerebrum,Rare (6.00%)
Titania Prime Blueprint,Uncommon (17.00%)
Equinox Prime Neuroptics Blueprint,Uncommon (17.00%)
Nezha Prime Systems Blueprint,Uncommon (20.00%)
Braton Prime Stock,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Neo D2 Relic (Radiant),Neo D2 Relic (Radiant)
Dethcube Prime Cerebrum,Uncommon (10.00%)
Titania Prime Blueprint,Uncommon (20.00%)
Equinox Prime Neuroptics Blueprint,Uncommon (20.00%)
Nezha Prime Systems Blueprint,Uncommon (16.67%)
Braton Prime Stock,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Neo D3 Relic (Intact),Neo D3 Relic (Intact)
Dethcube Prime Blueprint,Rare (2.00%)
Forma Blueprint,Uncommon (11.00%)
Zakti Prime Barrel,Uncommon (11.00%)
Paris Prime Lower Limb,Uncommon (25.33%)
Akbronco Prime Blueprint,Uncommon (25.33%)
Nezha Prime Systems Blueprint,Uncommon (25.33%)
,
Neo D3 Relic (Exceptional),Neo D3 Relic (Exceptional)
Dethcube Prime Blueprint,Rare (4.00%)
Forma Blueprint,Uncommon (13.00%)
Zakti Prime Barrel,Uncommon (13.00%)
Paris Prime Lower Limb,Uncommon (23.33%)
Akbronco Prime Blueprint,Uncommon (23.33%)
Nezha Prime Systems Blueprint,Uncommon (23.33%)
,
Neo D3 Relic (Flawless),Neo D3 Relic (Flawless)
Dethcube Prime Blueprint,Rare (6.00%)
Forma Blueprint,Uncommon (17.00%)
Zakti Prime Barrel,Uncommon (17.00%)
Paris Prime Lower Limb,Uncommon (20.00%)
Akbronco Prime Blueprint,Uncommon (20.00%)
Nezha Prime Systems Blueprint,Uncommon (20.00%)
,
Neo D3 Relic (Radiant),Neo D3 Relic (Radiant)
Dethcube Prime Blueprint,Uncommon (10.00%)
Forma Blueprint,Uncommon (20.00%)
Zakti Prime Barrel,Uncommon (20.00%)
Paris Prime Lower Limb,Uncommon (16.67%)
Akbronco Prime Blueprint,Uncommon (16.67%)
Nezha Prime Systems Blueprint,Uncommon (16.67%)
,
Neo D4 Relic (Intact),Neo D4 Relic (Intact)
Destreza Prime Blade,Rare (2.00%)
Dual Kamas Prime Handle,Uncommon (11.00%)
Limbo Prime Blueprint,Uncommon (11.00%)
Trinity Prime Systems Blueprint,Uncommon (25.33%)
Braton Prime Barrel,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Neo D4 Relic (Exceptional),Neo D4 Relic (Exceptional)
Destreza Prime Blade,Rare (4.00%)
Dual Kamas Prime Handle,Uncommon (13.00%)
Limbo Prime Blueprint,Uncommon (13.00%)
Trinity Prime Systems Blueprint,Uncommon (23.33%)
Braton Prime Barrel,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Neo D4 Relic (Flawless),Neo D4 Relic (Flawless)
Destreza Prime Blade,Rare (6.00%)
Dual Kamas Prime Handle,Uncommon (17.00%)
Limbo Prime Blueprint,Uncommon (17.00%)
Trinity Prime Systems Blueprint,Uncommon (20.00%)
Braton Prime Barrel,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Neo D4 Relic (Radiant),Neo D4 Relic (Radiant)
Destreza Prime Blade,Uncommon (10.00%)
Dual Kamas Prime Handle,Uncommon (20.00%)
Limbo Prime Blueprint,Uncommon (20.00%)
Trinity Prime Systems Blueprint,Uncommon (16.67%)
Braton Prime Barrel,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Neo D5 Relic (Intact),Neo D5 Relic (Intact)
Dual Keres Prime Blueprint,Rare (2.00%)
Braton Prime Stock,Uncommon (11.00%)
Corvas Prime Blueprint,Uncommon (11.00%)
Strun Prime Receiver,Uncommon (25.33%)
Paris Prime Upper Limb,Uncommon (25.33%)
Volnus Prime Blueprint,Uncommon (25.33%)
,
Neo D5 Relic (Exceptional),Neo D5 Relic (Exceptional)
Dual Keres Prime Blueprint,Rare (4.00%)
Braton Prime Stock,Uncommon (13.00%)
Corvas Prime Blueprint,Uncommon (13.00%)
Strun Prime Receiver,Uncommon (23.33%)
Paris Prime Upper Limb,Uncommon (23.33%)
Volnus Prime Blueprint,Uncommon (23.33%)
,
Neo D5 Relic (Flawless),Neo D5 Relic (Flawless)
Dual Keres Prime Blueprint,Rare (6.00%)
Braton Prime Stock,Uncommon (17.00%)
Corvas Prime Blueprint,Uncommon (17.00%)
Strun Prime Receiver,Uncommon (20.00%)
Paris Prime Upper Limb,Uncommon (20.00%)
Volnus Prime Blueprint,Uncommon (20.00%)
,
Neo D5 Relic (Radiant),Neo D5 Relic (Radiant)
Dual Keres Prime Blueprint,Uncommon (10.00%)
Braton Prime Stock,Uncommon (20.00%)
Corvas Prime Blueprint,Uncommon (20.00%)
Strun Prime Receiver,Uncommon (16.67%)
Paris Prime Upper Limb,Uncommon (16.67%)
Volnus Prime Blueprint,Uncommon (16.67%)
,
Neo D6 Relic (Intact),Neo D6 Relic (Intact)
Dethcube Prime Blueprint,Rare (2.00%)
Akstiletto Prime Link,Uncommon (11.00%)
Fragor Prime Handle,Uncommon (11.00%)
Lex Prime Barrel,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Braton Prime Blueprint,Uncommon (25.33%)
,
Neo D6 Relic (Exceptional),Neo D6 Relic (Exceptional)
Dethcube Prime Blueprint,Rare (4.00%)
Akstiletto Prime Link,Uncommon (13.00%)
Fragor Prime Handle,Uncommon (13.00%)
Lex Prime Barrel,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Braton Prime Blueprint,Uncommon (23.33%)
,
Neo D6 Relic (Flawless),Neo D6 Relic (Flawless)
Dethcube Prime Blueprint,Rare (6.00%)
Akstiletto Prime Link,Uncommon (17.00%)
Fragor Prime Handle,Uncommon (17.00%)
Lex Prime Barrel,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Braton Prime Blueprint,Uncommon (20.00%)
,
Neo D6 Relic (Radiant),Neo D6 Relic (Radiant)
Dethcube Prime Blueprint,Uncommon (10.00%)
Akstiletto Prime Link,Uncommon (20.00%)
Fragor Prime Handle,Uncommon (20.00%)
Lex Prime Barrel,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Braton Prime Blueprint,Uncommon (16.67%)
,
Neo D7 Relic (Intact),Neo D7 Relic (Intact)
Dual Keres Prime Blueprint,Rare (2.00%)
Knell Prime Receiver,Uncommon (11.00%)
Khora Prime Chassis Blueprint,Uncommon (11.00%)
Wisp Prime Systems Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Corvas Prime Receiver,Uncommon (25.33%)
,
Neo D7 Relic (Exceptional),Neo D7 Relic (Exceptional)
Dual Keres Prime Blueprint,Rare (4.00%)
Knell Prime Receiver,Uncommon (13.00%)
Khora Prime Chassis Blueprint,Uncommon (13.00%)
Wisp Prime Systems Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Corvas Prime Receiver,Uncommon (23.33%)
,
Neo D7 Relic (Flawless),Neo D7 Relic (Flawless)
Dual Keres Prime Blueprint,Rare (6.00%)
Knell Prime Receiver,Uncommon (17.00%)
Khora Prime Chassis Blueprint,Uncommon (17.00%)
Wisp Prime Systems Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Corvas Prime Receiver,Uncommon (20.00%)
,
Neo D7 Relic (Radiant),Neo D7 Relic (Radiant)
Dual Keres Prime Blueprint,Uncommon (10.00%)
Knell Prime Receiver,Uncommon (20.00%)
Khora Prime Chassis Blueprint,Uncommon (20.00%)
Wisp Prime Systems Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Corvas Prime Receiver,Uncommon (16.67%)
,
Neo D8 Relic (Intact),Neo D8 Relic (Intact)
Dual Keres Prime Blueprint,Rare (2.00%)
Forma Blueprint,Uncommon (11.00%)
Larkspur Prime Receiver,Uncommon (11.00%)
Nagantaka Prime Barrel,Uncommon (25.33%)
Lex Prime Receiver,Uncommon (25.33%)
Tatsu Prime Blueprint,Uncommon (25.33%)
,
Neo D8 Relic (Exceptional),Neo D8 Relic (Exceptional)
Dual Keres Prime Blueprint,Rare (4.00%)
Forma Blueprint,Uncommon (13.00%)
Larkspur Prime Receiver,Uncommon (13.00%)
Nagantaka Prime Barrel,Uncommon (23.33%)
Lex Prime Receiver,Uncommon (23.33%)
Tatsu Prime Blueprint,Uncommon (23.33%)
,
Neo D8 Relic (Flawless),Neo D8 Relic (Flawless)
Dual Keres Prime Blueprint,Rare (6.00%)
Forma Blueprint,Uncommon (17.00%)
Larkspur Prime Receiver,Uncommon (17.00%)
Nagantaka Prime Barrel,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (20.00%)
Tatsu Prime Blueprint,Uncommon (20.00%)
,
Neo D8 Relic (Radiant),Neo D8 Relic (Radiant)
Dual Keres Prime Blueprint,Uncommon (10.00%)
Forma Blueprint,Uncommon (20.00%)
Larkspur Prime Receiver,Uncommon (20.00%)
Nagantaka Prime Barrel,Uncommon (16.67%)
Lex Prime Receiver,Uncommon (16.67%)
Tatsu Prime Blueprint,Uncommon (16.67%)
,
Neo E1 Relic (Intact),Neo E1 Relic (Intact)
Ember Prime Blueprint,Rare (2.00%)
Reaper Prime Blade,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Frost Prime Neuroptics Blueprint,Uncommon (25.33%)
Loki Prime Neuroptics Blueprint,Uncommon (25.33%)
Wyrm Prime Blueprint,Uncommon (25.33%)
,
Neo E1 Relic (Exceptional),Neo E1 Relic (Exceptional)
Ember Prime Blueprint,Rare (4.00%)
Reaper Prime Blade,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Frost Prime Neuroptics Blueprint,Uncommon (23.33%)
Loki Prime Neuroptics Blueprint,Uncommon (23.33%)
Wyrm Prime Blueprint,Uncommon (23.33%)
,
Neo E1 Relic (Flawless),Neo E1 Relic (Flawless)
Ember Prime Blueprint,Rare (6.00%)
Reaper Prime Blade,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Frost Prime Neuroptics Blueprint,Uncommon (20.00%)
Loki Prime Neuroptics Blueprint,Uncommon (20.00%)
Wyrm Prime Blueprint,Uncommon (20.00%)
,
Neo E1 Relic (Radiant),Neo E1 Relic (Radiant)
Ember Prime Blueprint,Uncommon (10.00%)
Reaper Prime Blade,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Frost Prime Neuroptics Blueprint,Uncommon (16.67%)
Loki Prime Neuroptics Blueprint,Uncommon (16.67%)
Wyrm Prime Blueprint,Uncommon (16.67%)
,
Neo E2 Relic (Intact),Neo E2 Relic (Intact)
Equinox Prime Systems Blueprint,Rare (2.00%)
Zakti Prime Barrel,Uncommon (11.00%)
Atlas Prime Chassis Blueprint,Uncommon (11.00%)
Burston Prime Receiver,Uncommon (25.33%)
Dethcube Prime Systems,Uncommon (25.33%)
Corinth Prime Blueprint,Uncommon (25.33%)
,
Neo E2 Relic (Exceptional),Neo E2 Relic (Exceptional)
Equinox Prime Systems Blueprint,Rare (4.00%)
Zakti Prime Barrel,Uncommon (13.00%)
Atlas Prime Chassis Blueprint,Uncommon (13.00%)
Burston Prime Receiver,Uncommon (23.33%)
Dethcube Prime Systems,Uncommon (23.33%)
Corinth Prime Blueprint,Uncommon (23.33%)
,
Neo E2 Relic (Flawless),Neo E2 Relic (Flawless)
Equinox Prime Systems Blueprint,Rare (6.00%)
Zakti Prime Barrel,Uncommon (17.00%)
Atlas Prime Chassis Blueprint,Uncommon (17.00%)
Burston Prime Receiver,Uncommon (20.00%)
Dethcube Prime Systems,Uncommon (20.00%)
Corinth Prime Blueprint,Uncommon (20.00%)
,
Neo E2 Relic (Radiant),Neo E2 Relic (Radiant)
Equinox Prime Systems Blueprint,Uncommon (10.00%)
Zakti Prime Barrel,Uncommon (20.00%)
Atlas Prime Chassis Blueprint,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (16.67%)
Dethcube Prime Systems,Uncommon (16.67%)
Corinth Prime Blueprint,Uncommon (16.67%)
,
Neo E3 Relic (Intact),Neo E3 Relic (Intact)
Equinox Prime Systems Blueprint,Rare (2.00%)
Stradavar Prime Barrel,Uncommon (11.00%)
Lex Prime Blueprint,Uncommon (11.00%)
Zhuge Prime String,Uncommon (25.33%)
Burston Prime Receiver,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Neo E3 Relic (Exceptional),Neo E3 Relic (Exceptional)
Equinox Prime Systems Blueprint,Rare (4.00%)
Stradavar Prime Barrel,Uncommon (13.00%)
Lex Prime Blueprint,Uncommon (13.00%)
Zhuge Prime String,Uncommon (23.33%)
Burston Prime Receiver,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Neo E3 Relic (Flawless),Neo E3 Relic (Flawless)
Equinox Prime Systems Blueprint,Rare (6.00%)
Stradavar Prime Barrel,Uncommon (17.00%)
Lex Prime Blueprint,Uncommon (17.00%)
Zhuge Prime String,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Neo E3 Relic (Radiant),Neo E3 Relic (Radiant)
Equinox Prime Systems Blueprint,Uncommon (10.00%)
Stradavar Prime Barrel,Uncommon (20.00%)
Lex Prime Blueprint,Uncommon (20.00%)
Zhuge Prime String,Uncommon (16.67%)
Burston Prime Receiver,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Neo F1 Relic (Intact),Neo F1 Relic (Intact)
Frost Prime Blueprint,Rare (2.00%)
Bo Prime Handle,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Sicarus Prime Barrel,Uncommon (25.33%)
Ember Prime Chassis Blueprint,Uncommon (25.33%)
Sicarus Prime Blueprint,Uncommon (25.33%)
,
Neo F1 Relic (Exceptional),Neo F1 Relic (Exceptional)
Frost Prime Blueprint,Rare (4.00%)
Bo Prime Handle,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Sicarus Prime Barrel,Uncommon (23.33%)
Ember Prime Chassis Blueprint,Uncommon (23.33%)
Sicarus Prime Blueprint,Uncommon (23.33%)
,
Neo F1 Relic (Flawless),Neo F1 Relic (Flawless)
Frost Prime Blueprint,Rare (6.00%)
Bo Prime Handle,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Sicarus Prime Barrel,Uncommon (20.00%)
Ember Prime Chassis Blueprint,Uncommon (20.00%)
Sicarus Prime Blueprint,Uncommon (20.00%)
,
Neo F1 Relic (Radiant),Neo F1 Relic (Radiant)
Frost Prime Blueprint,Uncommon (10.00%)
Bo Prime Handle,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Sicarus Prime Barrel,Uncommon (16.67%)
Ember Prime Chassis Blueprint,Uncommon (16.67%)
Sicarus Prime Blueprint,Uncommon (16.67%)
,
Neo F2 Relic (Intact),Neo F2 Relic (Intact)
Fulmin Prime Receiver,Rare (2.00%)
Cobra & Crane Prime Blade,Uncommon (11.00%)
Nagantaka Prime Receiver,Uncommon (11.00%)
Forma Blueprint,Uncommon (25.33%)
Braton Prime Barrel,Uncommon (25.33%)
Shade Prime Cerebrum,Uncommon (25.33%)
,
Neo F2 Relic (Exceptional),Neo F2 Relic (Exceptional)
Fulmin Prime Receiver,Rare (4.00%)
Cobra & Crane Prime Blade,Uncommon (13.00%)
Nagantaka Prime Receiver,Uncommon (13.00%)
Forma Blueprint,Uncommon (23.33%)
Braton Prime Barrel,Uncommon (23.33%)
Shade Prime Cerebrum,Uncommon (23.33%)
,
Neo F2 Relic (Flawless),Neo F2 Relic (Flawless)
Fulmin Prime Receiver,Rare (6.00%)
Cobra & Crane Prime Blade,Uncommon (17.00%)
Nagantaka Prime Receiver,Uncommon (17.00%)
Forma Blueprint,Uncommon (20.00%)
Braton Prime Barrel,Uncommon (20.00%)
Shade Prime Cerebrum,Uncommon (20.00%)
,
Neo F2 Relic (Radiant),Neo F2 Relic (Radiant)
Fulmin Prime Receiver,Uncommon (10.00%)
Cobra & Crane Prime Blade,Uncommon (20.00%)
Nagantaka Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (16.67%)
Braton Prime Barrel,Uncommon (16.67%)
Shade Prime Cerebrum,Uncommon (16.67%)
,
Neo G1 Relic (Intact),Neo G1 Relic (Intact)
Gram Prime Handle,Rare (2.00%)
Paris Prime Grip,Uncommon (11.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (11.00%)
Mirage Prime Neuroptics Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Kogake Prime Boot,Uncommon (25.33%)
,
Neo G1 Relic (Exceptional),Neo G1 Relic (Exceptional)
Gram Prime Handle,Rare (4.00%)
Paris Prime Grip,Uncommon (13.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (13.00%)
Mirage Prime Neuroptics Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Kogake Prime Boot,Uncommon (23.33%)
,
Neo G1 Relic (Flawless),Neo G1 Relic (Flawless)
Gram Prime Handle,Rare (6.00%)
Paris Prime Grip,Uncommon (17.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (17.00%)
Mirage Prime Neuroptics Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Kogake Prime Boot,Uncommon (20.00%)
,
Neo G1 Relic (Radiant),Neo G1 Relic (Radiant)
Gram Prime Handle,Uncommon (10.00%)
Paris Prime Grip,Uncommon (20.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (20.00%)
Mirage Prime Neuroptics Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Kogake Prime Boot,Uncommon (16.67%)
,
Neo G2 Relic (Intact),Neo G2 Relic (Intact)
Gram Prime Handle,Rare (2.00%)
Pyrana Prime Receiver,Uncommon (11.00%)
Zhuge Prime Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (25.33%)
Dethcube Prime Systems,Uncommon (25.33%)
Redeemer Prime Blade,Uncommon (25.33%)
,
Neo G2 Relic (Exceptional),Neo G2 Relic (Exceptional)
Gram Prime Handle,Rare (4.00%)
Pyrana Prime Receiver,Uncommon (13.00%)
Zhuge Prime Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (23.33%)
Dethcube Prime Systems,Uncommon (23.33%)
Redeemer Prime Blade,Uncommon (23.33%)
,
Neo G2 Relic (Flawless),Neo G2 Relic (Flawless)
Gram Prime Handle,Rare (6.00%)
Pyrana Prime Receiver,Uncommon (17.00%)
Zhuge Prime Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (20.00%)
Dethcube Prime Systems,Uncommon (20.00%)
Redeemer Prime Blade,Uncommon (20.00%)
,
Neo G2 Relic (Radiant),Neo G2 Relic (Radiant)
Gram Prime Handle,Uncommon (10.00%)
Pyrana Prime Receiver,Uncommon (20.00%)
Zhuge Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (16.67%)
Dethcube Prime Systems,Uncommon (16.67%)
Redeemer Prime Blade,Uncommon (16.67%)
,
Neo G3 Relic (Intact),Neo G3 Relic (Intact)
Galatine Prime Blueprint,Rare (2.00%)
Sybaris Prime Receiver,Uncommon (11.00%)
Silva & Aegis Prime Blueprint,Uncommon (11.00%)
Burston Prime Receiver,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Fang Prime Blade,Uncommon (25.33%)
,
Neo G3 Relic (Exceptional),Neo G3 Relic (Exceptional)
Galatine Prime Blueprint,Rare (4.00%)
Sybaris Prime Receiver,Uncommon (13.00%)
Silva & Aegis Prime Blueprint,Uncommon (13.00%)
Burston Prime Receiver,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Fang Prime Blade,Uncommon (23.33%)
,
Neo G3 Relic (Flawless),Neo G3 Relic (Flawless)
Galatine Prime Blueprint,Rare (6.00%)
Sybaris Prime Receiver,Uncommon (17.00%)
Silva & Aegis Prime Blueprint,Uncommon (17.00%)
Burston Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Fang Prime Blade,Uncommon (20.00%)
,
Neo G3 Relic (Radiant),Neo G3 Relic (Radiant)
Galatine Prime Blueprint,Uncommon (10.00%)
Sybaris Prime Receiver,Uncommon (20.00%)
Silva & Aegis Prime Blueprint,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Fang Prime Blade,Uncommon (16.67%)
,
Neo G4 Relic (Intact),Neo G4 Relic (Intact)
Gara Prime Blueprint,Rare (2.00%)
Paris Prime Grip,Uncommon (11.00%)
Magnus Prime Receiver,Uncommon (11.00%)
Hystrix Prime Barrel,Uncommon (25.33%)
Fang Prime Blade,Uncommon (25.33%)
Pandero Prime Blueprint,Uncommon (25.33%)
,
Neo G4 Relic (Exceptional),Neo G4 Relic (Exceptional)
Gara Prime Blueprint,Rare (4.00%)
Paris Prime Grip,Uncommon (13.00%)
Magnus Prime Receiver,Uncommon (13.00%)
Hystrix Prime Barrel,Uncommon (23.33%)
Fang Prime Blade,Uncommon (23.33%)
Pandero Prime Blueprint,Uncommon (23.33%)
,
Neo G4 Relic (Flawless),Neo G4 Relic (Flawless)
Gara Prime Blueprint,Rare (6.00%)
Paris Prime Grip,Uncommon (17.00%)
Magnus Prime Receiver,Uncommon (17.00%)
Hystrix Prime Barrel,Uncommon (20.00%)
Fang Prime Blade,Uncommon (20.00%)
Pandero Prime Blueprint,Uncommon (20.00%)
,
Neo G4 Relic (Radiant),Neo G4 Relic (Radiant)
Gara Prime Blueprint,Uncommon (10.00%)
Paris Prime Grip,Uncommon (20.00%)
Magnus Prime Receiver,Uncommon (20.00%)
Hystrix Prime Barrel,Uncommon (16.67%)
Fang Prime Blade,Uncommon (16.67%)
Pandero Prime Blueprint,Uncommon (16.67%)
,
Neo H1 Relic (Intact),Neo H1 Relic (Intact)
Hydroid Prime Systems Blueprint,Rare (2.00%)
Banshee Prime Blueprint,Uncommon (11.00%)
Tigris Prime Barrel,Uncommon (11.00%)
Orthos Prime Handle,Uncommon (25.33%)
Fragor Prime Head,Uncommon (25.33%)
Burston Prime Receiver,Uncommon (25.33%)
,
Neo H1 Relic (Exceptional),Neo H1 Relic (Exceptional)
Hydroid Prime Systems Blueprint,Rare (4.00%)
Banshee Prime Blueprint,Uncommon (13.00%)
Tigris Prime Barrel,Uncommon (13.00%)
Orthos Prime Handle,Uncommon (23.33%)
Fragor Prime Head,Uncommon (23.33%)
Burston Prime Receiver,Uncommon (23.33%)
,
Neo H1 Relic (Flawless),Neo H1 Relic (Flawless)
Hydroid Prime Systems Blueprint,Rare (6.00%)
Banshee Prime Blueprint,Uncommon (17.00%)
Tigris Prime Barrel,Uncommon (17.00%)
Orthos Prime Handle,Uncommon (20.00%)
Fragor Prime Head,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (20.00%)
,
Neo H1 Relic (Radiant),Neo H1 Relic (Radiant)
Hydroid Prime Systems Blueprint,Uncommon (10.00%)
Banshee Prime Blueprint,Uncommon (20.00%)
Tigris Prime Barrel,Uncommon (20.00%)
Orthos Prime Handle,Uncommon (16.67%)
Fragor Prime Head,Uncommon (16.67%)
Burston Prime Receiver,Uncommon (16.67%)
,
Neo H2 Relic (Intact),Neo H2 Relic (Intact)
Hydroid Prime Systems Blueprint,Rare (2.00%)
Rubico Prime Barrel,Uncommon (11.00%)
Ballistica Prime Receiver,Uncommon (11.00%)
Euphona Prime Blueprint,Uncommon (25.33%)
Burston Prime Stock,Uncommon (25.33%)
Fang Prime Blueprint,Uncommon (25.33%)
,
Neo H2 Relic (Exceptional),Neo H2 Relic (Exceptional)
Hydroid Prime Systems Blueprint,Rare (4.00%)
Rubico Prime Barrel,Uncommon (13.00%)
Ballistica Prime Receiver,Uncommon (13.00%)
Euphona Prime Blueprint,Uncommon (23.33%)
Burston Prime Stock,Uncommon (23.33%)
Fang Prime Blueprint,Uncommon (23.33%)
,
Neo H2 Relic (Flawless),Neo H2 Relic (Flawless)
Hydroid Prime Systems Blueprint,Rare (6.00%)
Rubico Prime Barrel,Uncommon (17.00%)
Ballistica Prime Receiver,Uncommon (17.00%)
Euphona Prime Blueprint,Uncommon (20.00%)
Burston Prime Stock,Uncommon (20.00%)
Fang Prime Blueprint,Uncommon (20.00%)
,
Neo H2 Relic (Radiant),Neo H2 Relic (Radiant)
Hydroid Prime Systems Blueprint,Uncommon (10.00%)
Rubico Prime Barrel,Uncommon (20.00%)
Ballistica Prime Receiver,Uncommon (20.00%)
Euphona Prime Blueprint,Uncommon (16.67%)
Burston Prime Stock,Uncommon (16.67%)
Fang Prime Blueprint,Uncommon (16.67%)
,
Neo H3 Relic (Intact),Neo H3 Relic (Intact)
Hydroid Prime Systems Blueprint,Rare (2.00%)
Mesa Prime Systems Blueprint,Uncommon (11.00%)
Nami Skyla Prime Handle,Uncommon (11.00%)
Ballistica Prime Lower Limb,Uncommon (25.33%)
Fang Prime Handle,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Neo H3 Relic (Exceptional),Neo H3 Relic (Exceptional)
Hydroid Prime Systems Blueprint,Rare (4.00%)
Mesa Prime Systems Blueprint,Uncommon (13.00%)
Nami Skyla Prime Handle,Uncommon (13.00%)
Ballistica Prime Lower Limb,Uncommon (23.33%)
Fang Prime Handle,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Neo H3 Relic (Flawless),Neo H3 Relic (Flawless)
Hydroid Prime Systems Blueprint,Rare (6.00%)
Mesa Prime Systems Blueprint,Uncommon (17.00%)
Nami Skyla Prime Handle,Uncommon (17.00%)
Ballistica Prime Lower Limb,Uncommon (20.00%)
Fang Prime Handle,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Neo H3 Relic (Radiant),Neo H3 Relic (Radiant)
Hydroid Prime Systems Blueprint,Uncommon (10.00%)
Mesa Prime Systems Blueprint,Uncommon (20.00%)
Nami Skyla Prime Handle,Uncommon (20.00%)
Ballistica Prime Lower Limb,Uncommon (16.67%)
Fang Prime Handle,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Neo I1 Relic (Intact),Neo I1 Relic (Intact)
Ivara Prime Chassis Blueprint,Rare (2.00%)
Akjagara Prime Receiver,Uncommon (11.00%)
Limbo Prime Blueprint,Uncommon (11.00%)
Zhuge Prime String,Uncommon (25.33%)
Fang Prime Blade,Uncommon (25.33%)
Wukong Prime Neuroptics Blueprint,Uncommon (25.33%)
,
Neo I1 Relic (Exceptional),Neo I1 Relic (Exceptional)
Ivara Prime Chassis Blueprint,Rare (4.00%)
Akjagara Prime Receiver,Uncommon (13.00%)
Limbo Prime Blueprint,Uncommon (13.00%)
Zhuge Prime String,Uncommon (23.33%)
Fang Prime Blade,Uncommon (23.33%)
Wukong Prime Neuroptics Blueprint,Uncommon (23.33%)
,
Neo I1 Relic (Flawless),Neo I1 Relic (Flawless)
Ivara Prime Chassis Blueprint,Rare (6.00%)
Akjagara Prime Receiver,Uncommon (17.00%)
Limbo Prime Blueprint,Uncommon (17.00%)
Zhuge Prime String,Uncommon (20.00%)
Fang Prime Blade,Uncommon (20.00%)
Wukong Prime Neuroptics Blueprint,Uncommon (20.00%)
,
Neo I1 Relic (Radiant),Neo I1 Relic (Radiant)
Ivara Prime Chassis Blueprint,Uncommon (10.00%)
Akjagara Prime Receiver,Uncommon (20.00%)
Limbo Prime Blueprint,Uncommon (20.00%)
Zhuge Prime String,Uncommon (16.67%)
