Target Acquired,Target Acquired,Target Acquired
Nervo,3.00%,Uncommon (18.97%)
Kuva Heavy Gunner,10.00%,Uncommon (25.29%)
Kuva Bombard,3.00%,Uncommon (25.29%)
Kuva Roller,3.00%,Uncommon (18.97%)
Bombard,3.00%,Uncommon (25.29%)
Manic Bombard,40.00%,Uncommon (25.29%)
Roller,3.00%,Uncommon (18.97%)
Roller Sentry,3.00%,Uncommon (18.97%)
Hyena Th,60.00%,Common (38.72%)
Hyena Ng,60.00%,Common (38.72%)
Hyena Pb,60.00%,Common (38.72%)
Hyena Ln2,60.00%,Common (38.72%)
Hyena Pack,60.00%,Common (38.72%)
Scavenger Drone,3.00%,Common (38.72%)
Drekar Manic Bombard,40.00%,Uncommon (25.29%)
Latcher,3.00%,Uncommon (18.97%)
Tyl Regor,100.00%,Uncommon (25.81%)
Tyl Regor,100.00%,Uncommon (25.81%)
Narmer Bombard,3.00%,Uncommon (25.29%)
Narmer Scavenger Drone,3.00%,Common (38.72%)
Icemire Hyena,10.00%,Rare (7.84%)
Rabbleback Hyena,10.00%,Rare (7.84%)
Gyre Hyena,10.00%,Rare (7.84%)
Cinderthresh Hyena,10.00%,Rare (7.84%)
,,
Secondary Deadhead,Secondary Deadhead,Secondary Deadhead
Source,Mod Drop Chance,Chance
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
,,
Sweeping Serration,Sweeping Serration,Sweeping Serration
Source,Mod Drop Chance,Chance
Eidolon Hydrolyst,100.00%,Rare (8.33%)
,,
Rapid Resilience,Rapid Resilience,Rapid Resilience
Source,Mod Drop Chance,Chance
Vapos Prod Crewman,3.00%,Legendary (0.50%)
Taro Stropha Crewman,3.00%,Legendary (0.50%)
Orm Stropha Crewman,3.00%,Legendary (0.50%)
Axio Stropha Crewman,3.00%,Legendary (0.50%)
Vorac Stropha Crewman,3.00%,Legendary (0.50%)
Juno Malleus Machinist,3.00%,Legendary (0.50%)
Corpus Power Carrier,5.00%,Legendary (0.97%)
Prod Crewman,3.00%,Legendary (0.50%)
Nul Comba,5.00%,Legendary (0.50%)
Sap Comba,5.00%,Legendary (0.50%)
Slo Comba,5.00%,Legendary (0.50%)
Fog Comba,5.00%,Legendary (0.50%)
Narmer Prod Crewman,3.00%,Legendary (0.50%)
Terra Detron Crewman,5.00%,Legendary (0.50%)
Terra Research Crewman,5.00%,Legendary (0.50%)
Terra Elite Crewman,5.00%,Legendary (0.50%)
Terra Crewman,5.00%,Legendary (0.50%)
Terra Crewman,20.00%,Legendary (0.50%)
Terra Plasmor Crewman,5.00%,Legendary (0.50%)
Terra Plasmor Crewman,20.00%,Legendary (0.50%)
Terra Sniper Crewman,5.00%,Legendary (0.50%)
Terra Sniper Crewman,20.00%,Legendary (0.50%)
,,
Tactical Reload,Tactical Reload,Tactical Reload
Source,Mod Drop Chance,Chance
Brachiolyst Disperser,5.00%,Ultra Rare (1.67%)
Erra,25.00%,Ultra Rare (1.67%)
Brachiolyst,5.00%,Ultra Rare (1.67%)
Tyro Conculyst,25.00%,Ultra Rare (1.67%)
Symbilyst,25.00%,Ultra Rare (1.67%)
Battalyst,25.00%,Ultra Rare (1.67%)
Decaying Battalyst,25.00%,Ultra Rare (1.67%)
,,
Searing Steel,Searing Steel,Searing Steel
Source,Mod Drop Chance,Chance
Pyr Captain,15.00%,Uncommon (20.00%)
,,
Quasar Drill,Quasar Drill,Quasar Drill
Source,Mod Drop Chance,Chance
Pyr Captain,15.00%,Uncommon (20.00%)
Lektro Commander,15.00%,Uncommon (20.00%)
,,
Charged Chamber,Charged Chamber,Charged Chamber
Source,Mod Drop Chance,Chance
Vapos Railgun Moa,3.00%,Uncommon (11.28%)
Taro Railgun Moa,3.00%,Uncommon (11.28%)
Orm Railgun Moa,3.00%,Uncommon (11.28%)
Axio Railgun Moa,3.00%,Uncommon (11.28%)
Vorac Railgun Moa,3.00%,Uncommon (11.28%)
Railgun Moa,3.00%,Uncommon (11.28%)
,,
Pointed Wind,Pointed Wind,Pointed Wind
Source,Mod Drop Chance,Chance
Vapos Shockwave Moa,3.00%,Ultra Rare (1.01%)
Taro Shockwave Moa,3.00%,Ultra Rare (1.01%)
Orm Shockwave Moa,3.00%,Ultra Rare (1.01%)
Axio Shockwave Moa,3.00%,Ultra Rare (1.01%)
Vorac Shockwave Moa,3.00%,Ultra Rare (1.01%)
Test Moa,3.00%,Ultra Rare (1.01%)
Shockwave Moa,3.00%,Ultra Rare (1.01%)
Narmer Shockwave Moa,3.00%,Ultra Rare (1.01%)
Breacher Moa,3.00%,Ultra Rare (1.01%)
,,
Electromagnetic Shielding,Electromagnetic Shielding,Electromagnetic Shielding
Source,Mod Drop Chance,Chance
Kela De Thaym,100.00%,Uncommon (11.11%)
,,
Retribution,Retribution,Retribution
Source,Mod Drop Chance,Chance
Tusk Shield Lancer,3.00%,Ultra Rare (1.01%)
Kuva Shield Lancer,3.00%,Ultra Rare (1.01%)
Shield Lancer,3.00%,Ultra Rare (1.01%)
Narmer Shield Lancer,3.00%,Ultra Rare (1.01%)
,,
Necramech Aviator,Necramech Aviator,Necramech Aviator
Source,Mod Drop Chance,Chance
Deimos Jugulus Rex,100.00%,Uncommon (18.97%)
,,
Carnis Mandible,Carnis Mandible,Carnis Mandible
Source,Mod Drop Chance,Chance
Deimos Carnis,10.00%,Very Common (75.88%)
Deimos Carnis Rex,10.00%,Very Common (75.88%)
,,
Hunter Track,Hunter Track,Hunter Track
Source,Mod Drop Chance,Chance
Hemocyte,100.00%,Uncommon (10.53%)
Ghoul Rictus Alpha,50.00%,Ultra Rare (1.01%)
,,
Warhead,Warhead,Warhead
Source,Mod Drop Chance,Chance
Cannon Battery,15.00%,Rare (7.37%)
Taro Harpi,15.00%,Rare (7.37%)
Elite Axio Weaver,15.00%,Rare (3.26%)
Axio Weaver,15.00%,Rare (7.37%)
Elite Vorac Weaver,15.00%,Rare (3.17%)
Vorac Weaver,15.00%,Rare (5.53%)
Elite Kosma Taktis,15.00%,Uncommon (10.07%)
Kosma Taktis,15.00%,Rare (7.37%)
Elite Gyre Cutter,15.00%,Rare (7.37%)
Gyre Cutter,15.00%,Uncommon (11.06%)
,,
Twitch,Twitch,Twitch
Source,Mod Drop Chance,Chance
Summulyst,15.00%,Uncommon (15.28%)
Ortholyst,15.00%,Uncommon (15.28%)
Conculyst,15.00%,Uncommon (15.28%)
Decaying Conculyst,15.00%,Uncommon (15.28%)
,,
Cascadia Flare,Cascadia Flare,Cascadia Flare
Source,Mod Drop Chance,Chance
Void Angel,25.00%,Rare (6.67%)
Ravenous Void Angel,10.00%,Rare (6.67%)
Thrax Centurion,5.00%,Rare (6.67%)
Thrax Legatus,5.00%,Rare (6.67%)
,,
Arcane Arachne,Arcane Arachne,Arcane Arachne
Source,Mod Drop Chance,Chance
Eidolon Hydrolyst (Special),100.00%,Uncommon (12.74%)
Eidolon Hydrolyst,100.00%,Uncommon (13.76%)
,,
Enemy Sense,Enemy Sense,Enemy Sense
Source,Mod Drop Chance,Chance
Tusk Flameblade,3.00%,Ultra Rare (1.01%)
Tusk Predator,3.00%,Ultra Rare (1.01%)
Kuva Flameblade,3.00%,Ultra Rare (1.01%)
Flameblade,3.00%,Ultra Rare (1.01%)
Narmer Flameblade,3.00%,Ultra Rare (1.01%)
,,
Grim Fury,Grim Fury,Grim Fury
Source,Mod Drop Chance,Chance
Kuva Powerclaw,3.00%,Rare (5.53%)
Powerfist,3.00%,Rare (5.53%)
Narmer Powerfist,3.00%,Rare (5.53%)
,,
Homing Fang,Homing Fang,Homing Fang
Source,Mod Drop Chance,Chance
Nauseous Void Shade,3.00%,Uncommon (11.06%)
Void Shade,3.00%,Uncommon (11.06%)
Nauseous Crawler,3.00%,Uncommon (11.06%)
,,
Gladiator Resolve,Gladiator Resolve,Gladiator Resolve
Source,Mod Drop Chance,Chance
Aerial Commander,100.00%,Uncommon (11.06%)
,,
Toxic Barrage,Toxic Barrage,Toxic Barrage
Source,Mod Drop Chance,Chance
Corrupted Vor,100.00%,Uncommon (25.00%)
,,
Target Cracker,Target Cracker,Target Cracker
Source,Mod Drop Chance,Chance
Juno Crewman,3.00%,Rare (7.37%)
Kuva Powerclaw,3.00%,Rare (5.53%)
Powerfist,3.00%,Rare (5.53%)
Narmer Powerfist,3.00%,Rare (5.53%)
Exploiter Orb,100.00%,Rare (4.51%)
,,
Virulent Scourge,Virulent Scourge,Virulent Scourge
Source,Mod Drop Chance,Chance
Corrupted Vor,100.00%,Uncommon (25.00%)
,,
Patagium,Patagium,Patagium
Source,Mod Drop Chance,Chance
Drekar Trooper,3.00%,Uncommon (11.06%)
,,
Hawk Eye,Hawk Eye,Hawk Eye
Source,Mod Drop Chance,Chance
Vapos Shield Osprey,3.00%,Rare (7.37%)
Taro Shield Osprey,3.00%,Rare (7.37%)
Orm Shield Osprey,3.00%,Rare (7.37%)
Axio Shield Osprey,3.00%,Rare (7.37%)
Vorac Shield Osprey,3.00%,Rare (7.37%)
Arbitration Shield Drone,3.00%,Rare (7.37%)
Juno Shield Osprey,3.00%,Rare (7.37%)
Shield Osprey,3.00%,Rare (7.37%)
Narmer Shield Osprey,3.00%,Rare (7.37%)
Narmer Shield Osprey,3.00%,Rare (7.37%)
Narmer Sensolyst Drone,3.00%,Rare (7.37%)
Narmer Osprey,3.00%,Rare (7.37%)
Shield Drone,3.00%,Rare (7.37%)
Vallis Surveillance Drone,3.00%,Rare (7.37%)
Terra Attack Drone,5.00%,Rare (3.69%)
Terra Attack Drone,20.00%,Rare (3.69%)
Terra Shield Osprey,3.00%,Rare (7.37%)
Terra Shield Osprey,5.00%,Rare (3.69%)
Terra Shield Osprey,20.00%,Rare (3.69%)
Terra Oxium Osprey,5.00%,Rare (3.69%)
Terra Turret Osprey,5.00%,Rare (3.69%)
Primm,5.00%,Rare (3.69%)
Verd-Ie,5.00%,Rare (3.69%)
,,
Sure Footed,Sure Footed,Sure Footed
Source,Mod Drop Chance,Chance
Tusk Bombard,3.00%,Legendary (0.50%)
Tusk Mortar Bombard,3.00%,Legendary (0.50%)
Elite Shield Lancer,5.00%,Rare (2.78%)
Kuva Bombard,3.00%,Legendary (0.67%)
Bombard,3.00%,Legendary (0.50%)
Narmer Bombard,3.00%,Legendary (0.50%)
,,
Swooping Falcon,Swooping Falcon,Swooping Falcon
Source,Mod Drop Chance,Chance
Aerial Commander,100.00%,Legendary (0.50%)
,,
Lightning Dash,Lightning Dash,Lightning Dash
Source,Mod Drop Chance,Chance
Kuva Jester,2.50%,Uncommon (20.00%)
,,
Lethal Momentum,Lethal Momentum,Lethal Momentum
Source,Mod Drop Chance,Chance
Eidolon Teralyst,100.00%,Uncommon (22.22%)
Tyl Regor,100.00%,Rare (7.52%)
Tyl Regor,100.00%,Rare (7.52%)
,,
Arcane Ice,Arcane Ice,Arcane Ice
Source,Mod Drop Chance,Chance
Eidolon Teralyst (Special),100.00%,Uncommon (12.05%)
Eidolon Teralyst,100.00%,Uncommon (14.95%)
,,
Blood For Ammo,Blood For Ammo,Blood For Ammo
Source,Mod Drop Chance,Chance
Phorid,100.00%,Very Common (77.44%)
,,
Dig,Dig,Dig
Source,Mod Drop Chance,Chance
Tamm,3.00%,Legendary (0.22%)
Corrupted Drahk,3.00%,Legendary (0.22%)
Kubrow,3.00%,Legendary (0.22%)
Kuva Drahk,3.00%,Legendary (0.22%)
Drahk,3.00%,Legendary (0.22%)
,,
Coolant Leak,Coolant Leak,Coolant Leak
Source,Mod Drop Chance,Chance
Orokin Drone,3.00%,Legendary (0.67%)
Orokin Spectator,3.00%,Legendary (0.67%)
,,
Augur Pact,Augur Pact,Augur Pact
Source,Mod Drop Chance,Chance
Recon Commander,100.00%,Common (37.94%)
,,
Thermagnetic Shells,Thermagnetic Shells,Thermagnetic Shells
Source,Mod Drop Chance,Chance
Ved Xol,10.00%,Uncommon (12.50%)
Nako Xol,10.00%,Uncommon (12.50%)
Pelna Cade,10.00%,Uncommon (12.50%)
Lockjaw & Sol,10.00%,Uncommon (12.50%)
Jad Teran,10.00%,Uncommon (12.50%)
Azoth,10.00%,Uncommon (12.50%)
Raptor Rx,10.00%,Uncommon (12.50%)
Auditor,10.00%,Uncommon (12.50%)
Jen Dro,10.00%,Uncommon (12.50%)
Derim Zahn,10.00%,Uncommon (12.50%)
M-W.A.M.,10.00%,Uncommon (12.50%)
Tia Mayn,10.00%,Uncommon (12.50%)
Armis Ulta,10.00%,Uncommon (12.50%)
Dru Pesfor,10.00%,Uncommon (12.50%)
Rana Del,10.00%,Uncommon (12.50%)
002-Er,10.00%,Uncommon (12.50%)
,,
No Return,No Return,No Return
Source,Mod Drop Chance,Chance
Vapos Elite Crewman,3.00%,Rare (5.53%)
Vapos Crewman,3.00%,Uncommon (11.06%)
Taro Elite Crewman,3.00%,Rare (5.53%)
Taro Crewman,3.00%,Uncommon (11.06%)
Taro Tech,3.00%,Uncommon (22.11%)
Taro Engineer,3.00%,Uncommon (22.11%)
Orm Elite Crewman,3.00%,Rare (5.53%)
Orm Crewman,3.00%,Uncommon (11.06%)
Orm Tech,3.00%,Uncommon (22.11%)
Orm Engineer,3.00%,Uncommon (22.11%)
Axio Elite Crewman,3.00%,Rare (5.53%)
Axio Crewman,3.00%,Uncommon (11.06%)
Axio Tech,3.00%,Uncommon (22.11%)
Axio Engineer,3.00%,Uncommon (22.11%)
Vorac Elite Crewman,3.00%,Rare (5.53%)
Vorac Crewman,3.00%,Uncommon (11.06%)
Vorac Tech,3.00%,Uncommon (22.11%)
Vorac Engineer,3.00%,Uncommon (22.11%)
Machinist,3.00%,Rare (5.53%)
Corrupted Power Carrier,3.00%,Uncommon (11.06%)
Nightwatch Carrier,3.00%,Uncommon (11.06%)
Juno Elite Crewman,3.00%,Uncommon (22.11%)
Juno Crewman,3.00%,Rare (7.37%)
Juno Tech,3.00%,Uncommon (22.11%)
Eidolon Vomvalyst,5.00%,Uncommon (11.06%)
Mutalist Osprey Carrier,3.00%,Uncommon (11.06%)
Corpus Power Carrier,3.00%,Uncommon (11.06%)
Corpus Power Carrier,5.00%,Rare (8.54%)
Elite Crewman,3.00%,Rare (5.53%)
Kuva Hellion Carrier,3.00%,Uncommon (11.06%)
Kuva Power Carrier,3.00%,Uncommon (11.06%)
Hellion Power Carrier,3.00%,Uncommon (11.06%)
Hellion Power Carrier,25.00%,Uncommon (11.06%)
Grineer Power Carrier,3.00%,Uncommon (11.06%)
Nul Comba,5.00%,Rare (4.42%)
Sap Comba,5.00%,Rare (4.42%)
Slo Comba,5.00%,Rare (4.42%)
Fog Comba,5.00%,Rare (4.42%)
Crewman,3.00%,Uncommon (11.06%)
Deimos Mutalist Osprey Carrier,3.00%,Uncommon (11.06%)
Narmer Power Carrier,3.00%,Uncommon (11.06%)
Narmer Crewman,3.00%,Uncommon (11.06%)
Narmer Elite Crewman,3.00%,Rare (5.53%)
Narmer Machinist,3.00%,Rare (5.53%)
Narmer Tech,3.00%,Uncommon (22.11%)
Terra Detron Crewman,5.00%,Rare (4.42%)
Terra Research Crewman,5.00%,Rare (4.42%)
Terra Elite Crewman,5.00%,Rare (4.42%)
Terra Crewman,5.00%,Rare (4.42%)
Terra Crewman,20.00%,Rare (4.42%)
Terra Plasmor Crewman,5.00%,Rare (4.42%)
Terra Plasmor Crewman,20.00%,Rare (4.42%)
Terra Sniper Crewman,5.00%,Rare (4.42%)
Terra Sniper Crewman,20.00%,Rare (4.42%)
Orb Vallis - Temple of Profit Enemies,5.00%,Rare (3.69%)
,,
Vitality,Vitality,Vitality
Source,Mod Drop Chance,Chance
Vapos Oxium Osprey,3.00%,Uncommon (25.29%)
Taro Secura Osprey,3.00%,Uncommon (25.29%)
Tusk Reaver,3.00%,Common (37.94%)
Tusk Hellion,3.00%,Common (37.94%)
Tusk Hellion,3.00%,Common (37.94%)
Tusk Lancer,3.00%,Common (37.94%)
Nightwatch Reaver,3.00%,Common (37.94%)
Juno Oxium Osprey,3.00%,Uncommon (25.29%)
Alad V,100.00%,Uncommon (25.29%)
Attack Drone,3.00%,Uncommon (25.29%)
Remech Osprey,3.00%,Uncommon (25.29%)
Captain Vor,100.00%,Uncommon (25.29%)
Nemes,3.00%,Uncommon (25.29%)
Kuva Hellion,3.00%,Common (37.94%)
Kuva Lancer,3.00%,Common (37.94%)
Carabus,3.00%,Uncommon (25.29%)
Arid Hellion,3.00%,Common (37.94%)
Frontier Hellion,3.00%,Common (37.94%)
Hellion,3.00%,Common (37.94%)
Lancer,3.00%,Common (37.94%)
Frontier Regulator,3.00%,Uncommon (25.29%)
Regulator,3.00%,Uncommon (25.29%)
Arid Lancer,3.00%,Common (37.94%)
Frontier Lancer,3.00%,Common (37.94%)
Mutalist Alad V,100.00%,Uncommon (25.29%)
Drekar Elite Lancer,3.00%,Common (37.94%)
Drekar Scorpion,3.00%,Common (37.94%)
Drekar Lancer,3.00%,Common (37.94%)
Sensor Regulator,3.00%,Uncommon (25.29%)
Oxium Osprey,3.00%,Uncommon (25.29%)
Tyl Regor,100.00%,Uncommon (25.81%)
Tyl Regor,100.00%,Uncommon (25.81%)
Rathuum Broadcaster,3.00%,Uncommon (25.29%)
Lancer Survivor,3.00%,Common (37.94%)
Narmer Commander,3.00%,Common (37.94%)
Narmer Observation Drone,3.00%,Uncommon (25.29%)
Narmer Oxium Osprey,3.00%,Uncommon (25.29%)
Narmer Hellion,3.00%,Common (37.94%)
Narmer Lancer,3.00%,Common (37.94%)
Narmer Regulator,3.00%,Uncommon (25.29%)
Narmer Coildrive,3.00%,Common (37.94%)
Kuva Lich Agor Rok (Level 0 - 69),3.00%,Common (37.94%)
Kuva Lich Agor Rok (Level 70 - 79),3.00%,Common (48.71%)
Observation Drone,3.00%,Uncommon (25.29%)
Special Duty Coildrive,3.00%,Common (37.94%)
Terra Attack Drone,5.00%,Uncommon (25.29%)
Terra Attack Drone,20.00%,Uncommon (25.29%)
Terra Shield Osprey,5.00%,Uncommon (25.29%)
Terra Shield Osprey,20.00%,Uncommon (25.29%)
Terra Oxium Osprey,5.00%,Uncommon (25.29%)
Terra Turret Osprey,3.00%,Uncommon (25.29%)
Terra Turret Osprey,5.00%,Uncommon (25.29%)
Coildrive,3.00%,Common (37.94%)
Rogg-417,3.00%,Common (37.94%)
Primm,5.00%,Uncommon (25.29%)
Verd-Ie,5.00%,Uncommon (25.29%)
Orb Vallis - Spaceport Enemies,5.00%,Common (35.36%)
,,
Scavenge,Scavenge,Scavenge
Source,Mod Drop Chance,Chance
Tamm,3.00%,Uncommon (25.29%)
Corrupted Drahk,3.00%,Uncommon (25.29%)
Kubrow,3.00%,Uncommon (25.29%)
Kuva Drahk,3.00%,Uncommon (25.29%)
Drahk,3.00%,Uncommon (25.29%)
,,
Expel Corpus,Expel Corpus,Expel Corpus
Source,Mod Drop Chance,Chance
Demolisher Machinist,15.00%,Uncommon (25.00%)
Demolisher Machinist,15.00%,Uncommon (25.00%)
Demolisher Hyena,15.00%,Uncommon (25.00%)
Demolisher Hyena,15.00%,Uncommon (25.00%)
Demolisher Anti Moa,15.00%,Uncommon (25.00%)
Demolisher Anti Moa,15.00%,Uncommon (25.00%)
Demolisher Bursa,15.00%,Uncommon (25.00%)
Demolisher Bursa,15.00%,Uncommon (25.00%)
Juno Malleus Machinist,3.00%,Rare (7.37%)
,,
Scourging Warheads,Scourging Warheads,Scourging Warheads
Source,Mod Drop Chance,Chance
Elite Taro Basilisk,15.00%,Uncommon (12.32%)
Elite Taro Harpi,15.00%,Uncommon (13.84%)
Elite Axio Basilisk,15.00%,Rare (9.24%)
Axio Basilisk,15.00%,Rare (5.53%)
Axio Gox,15.00%,Rare (3.46%)
Elite Axio Harpi,15.00%,Uncommon (12.32%)
Axio Harpi,15.00%,Rare (7.37%)
Elite Axio Weaver,15.00%,Rare (3.26%)
Axio Weaver,15.00%,Rare (7.37%)
Elite Gyre Taktis,15.00%,Uncommon (27.91%)
Gyre Taktis,15.00%,Uncommon (22.11%)
,,
Expel The Murmur,Expel The Murmur,Expel The Murmur
Source,Mod Drop Chance,Chance
Lumbering Fragment,1.50%,Rare (4.17%)
The Severed Warden,3.00%,Uncommon (20.41%)
,,
Ruinous Extension,Ruinous Extension,Ruinous Extension
Source,Mod Drop Chance,Chance
Jackal,100.00%,Rare (7.37%)
,,
Hunt,Hunt,Hunt
Source,Mod Drop Chance,Chance
Tamm,3.00%,Legendary (0.22%)
Corrupted Drahk,3.00%,Legendary (0.22%)
Kubrow,3.00%,Legendary (0.22%)
Kuva Drahk,3.00%,Legendary (0.22%)
Drahk,3.00%,Legendary (0.22%)
,,
Crushing Ruin,Crushing Ruin,Crushing Ruin
Source,Mod Drop Chance,Chance
Tusk Seeker,3.00%,Legendary (0.67%)
Kuva Seeker,3.00%,Legendary (0.67%)
Arid Seeker,3.00%,Legendary (0.67%)
Frontier Seeker,3.00%,Legendary (0.67%)
Seeker,3.00%,Legendary (0.67%)
Grineer Manic,3.00%,Legendary (0.67%)
Drekar Seeker,3.00%,Legendary (0.67%)
Narmer Seeker,3.00%,Legendary (0.67%)
,,
Vulcan Blitz,Vulcan Blitz,Vulcan Blitz
Source,Mod Drop Chance,Chance
Kela De Thaym,100.00%,Uncommon (11.11%)
,,
Breach Loader,Breach Loader,Breach Loader
Source,Mod Drop Chance,Chance
Eidolon Gantulyst,100.00%,Legendary (0.84%)
,,
Necramech Rage,Necramech Rage,Necramech Rage
Source,Mod Drop Chance,Chance
Deimos Jugulus Rex,100.00%,Rare (4.42%)
,,
Healing Return,Healing Return,Healing Return
Source,Mod Drop Chance,Chance
Undying Flyer,4.50%,Legendary (0.67%)
Crawler,3.00%,Ultra Rare (1.01%)
,,
Rending Crane,Rending Crane,Rending Crane
Source,Mod Drop Chance,Chance
Tusk Napalm,3.00%,Rare (5.53%)
Kuva Napalm,3.00%,Rare (5.53%)
Napalm,3.00%,Rare (5.53%)
Narmer Napalm,3.00%,Rare (5.53%)
,,
Pressure Point,Pressure Point,Pressure Point
Source,Mod Drop Chance,Chance
Aurax Baculus,3.00%,Uncommon (25.29%)
Tusk Reaver,3.00%,Common (37.94%)
Tusk Hellion,3.00%,Common (37.94%)
Tusk Hellion,3.00%,Common (37.94%)
Tusk Lancer,3.00%,Common (37.94%)
Tusk Butcher,3.00%,Uncommon (18.97%)
Nightwatch Reaver,3.00%,Common (37.94%)
Juno Jactus Osprey,3.00%,Common (37.94%)
Guardsman,3.00%,Uncommon (25.29%)
Ambulas,80.00%,Very Common (75.88%)
Kuva Drahk Master,3.00%,Uncommon (18.97%)
Kuva Hyekka Master,3.00%,Uncommon (25.29%)
Kuva Hellion,3.00%,Common (37.94%)
Kuva Lancer,3.00%,Common (37.94%)
Kuva Butcher,3.00%,Uncommon (18.97%)
Ghoul Devourer,10.00%,Uncommon (25.29%)
Infested Corpus,100.00%,Common (38.72%)
Ancient Infested,100.00%,Common (38.72%)
Infested Grineer,100.00%,Common (38.72%)
Drahk Master,3.00%,Uncommon (18.97%)
Hyekka Master,3.00%,Uncommon (25.29%)
Frontier Bailiff,3.00%,Uncommon (18.97%)
Bailiff,3.00%,Uncommon (18.97%)
Bailiff,3.00%,Very Common (75.88%)
Bailiff Defector,3.00%,Very Common (75.88%)
Arid Hellion,3.00%,Common (37.94%)
Frontier Hellion,3.00%,Common (37.94%)
Hellion,3.00%,Common (37.94%)
Lancer,3.00%,Common (37.94%)
Commander,100.00%,Common (37.94%)
Arid Lancer,3.00%,Common (37.94%)
Frontier Lancer,3.00%,Common (37.94%)
Butcher,3.00%,Uncommon (18.97%)
Venin Mutalist,3.00%,Common (37.94%)
Lobber Crawler,3.00%,Uncommon (18.97%)
Toxic Crawler,3.00%,Uncommon (18.97%)
J3 Jordas Golem,100.00%,Common (37.94%)
Jordas Golem,100.00%,Common (37.94%)
Grineer Manic,50.00%,Uncommon (18.97%)
Mine Osprey,3.00%,Common (37.94%)
General Sargas Ruk,100.00%,Common (37.94%)
Drekar Butcher,3.00%,Uncommon (18.97%)
Drekar Elite Lancer,3.00%,Common (37.94%)
Drekar Heavy Gunner,3.00%,Common (38.72%)
Drekar Scorpion,3.00%,Common (37.94%)
Drekar Manic,3.00%,Uncommon (18.97%)
Drekar Lancer,3.00%,Common (37.94%)
Mutalist Osprey,3.00%,Common (37.94%)
Sikula,3.00%,Common (37.94%)
Lancer Survivor,3.00%,Common (37.94%)
Deimos Venin Mutalist,3.00%,Common (37.94%)
Narmer Commander,3.00%,Common (37.94%)
Narmer Mine Osprey,3.00%,Common (37.94%)
Narmer Hellion,3.00%,Common (37.94%)
Narmer Lancer,3.00%,Common (37.94%)
Narmer Coildrive,3.00%,Common (37.94%)
Kuva Lich Agor Rok (Level 0 - 69),3.00%,Common (37.94%)
Special Duty Coildrive,3.00%,Common (37.94%)
Coildrive,3.00%,Common (37.94%)
Rogg-417,3.00%,Common (37.94%)
,,
Flux Overdrive,Flux Overdrive,Flux Overdrive
Source,Mod Drop Chance,Chance
Ved Xol,10.00%,Uncommon (12.50%)
Nako Xol,10.00%,Uncommon (12.50%)
Pelna Cade,10.00%,Uncommon (12.50%)
Lockjaw & Sol,10.00%,Uncommon (12.50%)
Jad Teran,10.00%,Uncommon (12.50%)
Azoth,10.00%,Uncommon (12.50%)
Raptor Rx,10.00%,Uncommon (12.50%)
Auditor,10.00%,Uncommon (12.50%)
Jen Dro,10.00%,Uncommon (12.50%)
Derim Zahn,10.00%,Uncommon (12.50%)
M-W.A.M.,10.00%,Uncommon (12.50%)
Tia Mayn,10.00%,Uncommon (12.50%)
Armis Ulta,10.00%,Uncommon (12.50%)
Dru Pesfor,10.00%,Uncommon (12.50%)
Rana Del,10.00%,Uncommon (12.50%)
