Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
Point Strike,Uncommon (12.18%)
Piercing Hit,Uncommon (12.18%)
Pistol Gambit,Uncommon (12.18%)
Gnashing Payara,Ultra Rare (1.29%)
Astral Twilight,Ultra Rare (1.29%)
Rotation B,Rotation B
Focused Defense,Rare (7.49%)
Catalyzer Link,Rare (7.49%)
Target Cracker,Rare (7.49%)
No Return,Rare (7.49%)
Hornet Strike,Rare (7.49%)
Reflex Coil,Rare (7.49%)
Deep Freeze,Rare (7.49%)
North Wind,Rare (7.49%)
Cryo Rounds,Rare (7.49%)
Hell's Chamber,Rare (7.49%)
Streamline,Rare (7.49%)
Shocking Touch,Rare (7.49%)
Stormbringer,Rare (7.49%)
High Noon,Ultra Rare (1.29%)
Crushing Ruin,Ultra Rare (1.29%)
Rotation C,Rotation C
Rime Rounds,Rare (7.37%)
Scattering Inferno,Rare (7.37%)
Failsafe,Common (37.94%)
Coiling Viper,Common (37.94%)
Cleaving Whirlwind,Rare (2.01%)
Ivara Chassis Blueprint,Rare (7.37%)
,
Lua/Tycho (Survival),Lua/Tycho (Survival)
Rotation A,Rotation A
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
400 Endo,Uncommon (25.00%)
Rotation B,Rotation B
Steel Fiber,Rare (6.67%)
Stretch,Rare (6.67%)
Serration,Rare (6.67%)
Hell's Chamber,Rare (6.67%)
Hornet Strike,Rare (6.67%)
Flow,Rare (6.67%)
Split Chamber,Rare (6.67%)
Stabilizer,Rare (6.67%)
Neo F2 Relic,Rare (6.67%)
Neo Z10 Relic,Rare (6.67%)
Neo D8 Relic,Rare (6.67%)
Neo S18 Relic,Rare (6.67%)
Neo K6 Relic,Rare (6.67%)
Neo K7 Relic,Rare (6.67%)
Neo N23 Relic,Rare (6.67%)
Rotation C,Rotation C
Cleanse Infested,Rare (3.76%)
Pistol Ammo Mutation,Rare (3.76%)
Arrow Mutation,Rare (3.76%)
Rifle Ammo Mutation,Rare (3.76%)
Sniper Ammo Mutation,Rare (3.76%)
Shotgun Ammo Mutation,Rare (3.76%)
Axi H6 Relic,Uncommon (11.06%)
Axi G11 Relic,Uncommon (11.06%)
Axi G10 Relic,Uncommon (11.06%)
Axi B6 Relic,Uncommon (11.06%)
Axi G12 Relic,Uncommon (11.06%)
Axi L6 Relic,Uncommon (11.06%)
Axi A17 Relic,Uncommon (11.06%)
,
Lua/StöFler (Defense),Lua/StöFler (Defense)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Neo F2 Relic,Uncommon (10.00%)
Neo Z10 Relic,Uncommon (10.00%)
Neo S18 Relic,Uncommon (10.00%)
Neo K6 Relic,Uncommon (10.00%)
Neo K7 Relic,Uncommon (10.00%)
Neo D8 Relic,Uncommon (10.00%)
Neo N23 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Hornet Strike,Rare (6.67%)
Reflex Coil,Rare (6.67%)
Deep Freeze,Rare (6.67%)
North Wind,Rare (6.67%)
Hell's Chamber,Rare (6.67%)
Streamline,Rare (6.67%)
Shocking Touch,Rare (6.67%)
200 Endo,Rare (6.67%)
Axi H6 Relic,Rare (6.67%)
Axi G11 Relic,Rare (6.67%)
Axi G10 Relic,Rare (6.67%)
Axi B6 Relic,Rare (6.67%)
Axi G12 Relic,Rare (6.67%)
Axi L6 Relic,Rare (6.67%)
Axi A17 Relic,Rare (6.67%)
Rotation C,Rotation C
Vital Sense,Rare (2.26%)
Metal Auger,Rare (2.26%)
Ravage,Rare (2.26%)
Stretch,Rare (2.26%)
Handspring,Rare (2.26%)
Convulsion,Rare (2.26%)
Split Chamber,Rare (2.26%)
Continuity,Rare (2.26%)
Master Thief,Rare (2.26%)
400 Endo,Rare (2.26%)
Axi H6 Relic,Uncommon (11.06%)
Axi G11 Relic,Uncommon (11.06%)
Axi G10 Relic,Uncommon (11.06%)
Axi B6 Relic,Uncommon (11.06%)
Axi G12 Relic,Uncommon (11.06%)
Axi L6 Relic,Uncommon (11.06%)
Axi A17 Relic,Uncommon (11.06%)
,
Lua/Copernicus (Capture),Lua/Copernicus (Capture)
Vitality,Uncommon (10.84%)
Fast Deflection,Uncommon (10.84%)
Rush,Uncommon (11.06%)
Magazine Warp,Uncommon (10.84%)
Trick Mag,Uncommon (10.84%)
Pressure Point,Legendary (0.34%)
Ammo Drum,Uncommon (11.06%)
Fast Hands,Uncommon (10.84%)
Quickdraw,Uncommon (10.84%)
Health Restore (Large),Uncommon (10.84%)
Omni Ammo Box,Legendary (0.34%)
North Wind,Legendary (0.34%)
Shocking Touch,Legendary (0.34%)
Molten Impact,Legendary (0.34%)
Stretch,Legendary (0.34%)
,
Lua/Zeipel (Rescue),Lua/Zeipel (Rescue)
Rotation A,Rotation A
Phase Specter Blueprint,Very Common (100.00%)
Rotation B,Rotation B
Force Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Cosmic Specter Blueprint,Very Common (100.00%)
,
Lua/Apollo (Disruption),Lua/Apollo (Disruption)
Rotation A,Rotation A
Neo F2 Relic,Uncommon (14.29%)
Neo Z10 Relic,Uncommon (14.29%)
Neo D8 Relic,Uncommon (14.29%)
Neo S18 Relic,Uncommon (14.29%)
Neo K6 Relic,Uncommon (14.29%)
Neo K7 Relic,Uncommon (14.29%)
Neo N23 Relic,Uncommon (14.29%)
Rotation B,Rotation B
Axi H6 Relic,Uncommon (14.29%)
Axi G11 Relic,Uncommon (14.29%)
Axi G10 Relic,Uncommon (14.29%)
Axi B6 Relic,Uncommon (14.29%)
Axi G12 Relic,Uncommon (14.29%)
Axi L6 Relic,Uncommon (14.29%)
Axi A17 Relic,Uncommon (14.29%)
Rotation C,Rotation C
Axi H6 Relic,Uncommon (12.42%)
Axi G11 Relic,Uncommon (12.42%)
Axi G10 Relic,Uncommon (12.42%)
Lua Lens Blueprint,Rare (8.05%)
Universal Medallion,Rare (5.03%)
Axi B6 Relic,Uncommon (12.42%)
Axi G12 Relic,Uncommon (12.42%)
Axi L6 Relic,Uncommon (12.42%)
Axi A17 Relic,Uncommon (12.42%)
,
Lua/Yuvarium (Survival),Lua/Yuvarium (Survival)
Rotation A,Rotation A
"3,000 Credits Cache",Common (38.72%)
Somatic Fibers,Common (38.72%)
400 Endo,Rare (7.52%)
Perigale Blueprint,Rare (7.52%)
Sarofang Blueprint,Rare (7.52%)
Rotation B,Rotation B
Neo F2 Relic,Uncommon (10.00%)
Neo Z10 Relic,Uncommon (10.00%)
Neo D8 Relic,Uncommon (10.00%)
Neo S18 Relic,Uncommon (10.00%)
Neo K6 Relic,Uncommon (10.00%)
Neo K7 Relic,Uncommon (10.00%)
Neo N23 Relic,Uncommon (10.00%)
Sarofang Blade,Rare (6.00%)
Sarofang Handle,Rare (6.00%)
Perigale Barrel,Rare (6.00%)
Perigale Receiver,Rare (6.00%)
Perigale Stock,Rare (6.00%)
Rotation C,Rotation C
Axi H6 Relic,Uncommon (11.36%)
Axi G11 Relic,Uncommon (11.36%)
Axi G10 Relic,Uncommon (11.36%)
Axi B6 Relic,Uncommon (11.36%)
Axi G12 Relic,Uncommon (11.36%)
Axi L6 Relic,Uncommon (11.36%)
Axi A17 Relic,Uncommon (11.36%)
Voruna Blueprint,Rare (6.82%)
Voruna Chassis Blueprint,Rare (4.55%)
Voruna Neuroptics Blueprint,Rare (4.55%)
Voruna Systems Blueprint,Rare (4.55%)
,
Lua/Yuvarium (Survival) Extra,Lua/Yuvarium (Survival) Extra
Rotation A,Rotation A
3X Lua Thrax Plasm,Very Common (100.00%)
Rotation B,Rotation B
3X Lua Thrax Plasm,Very Common (100.00%)
Rotation C,Rotation C
3X Lua Thrax Plasm,Very Common (100.00%)
,
Lua/Circulus (Survival),Lua/Circulus (Survival)
Rotation A,Rotation A
400 Endo,Common (38.72%)
Somatic Fibers,Common (38.72%)
Perigale Blueprint,Uncommon (11.28%)
Sarofang Blueprint,Uncommon (11.28%)
Rotation B,Rotation B
Neo F2 Relic,Rare (4.76%)
Neo Z10 Relic,Rare (4.76%)
Neo D8 Relic,Rare (4.76%)
Neo S18 Relic,Rare (4.76%)
Neo K6 Relic,Rare (4.76%)
Neo K7 Relic,Rare (4.76%)
Neo N23 Relic,Rare (4.76%)
Sarofang Blade,Uncommon (10.16%)
Sarofang Handle,Uncommon (10.16%)
Perigale Barrel,Uncommon (10.16%)
Perigale Receiver,Uncommon (10.16%)
Perigale Stock,Uncommon (10.16%)
Conjunction Voltage,Rare (7.94%)
Arcane Rise,Rare (7.94%)
Rotation C,Rotation C
Axi H6 Relic,Rare (6.12%)
Axi G11 Relic,Rare (6.12%)
Axi G10 Relic,Rare (6.12%)
Axi B6 Relic,Rare (6.12%)
Axi G12 Relic,Rare (6.12%)
Axi L6 Relic,Rare (6.12%)
Axi A17 Relic,Rare (6.12%)
Voruna Blueprint,Uncommon (12.24%)
Voruna Chassis Blueprint,Rare (8.16%)
Voruna Neuroptics Blueprint,Rare (8.16%)
Voruna Systems Blueprint,Rare (8.16%)
Arcane Blessing,Uncommon (10.20%)
Primary Frostbite,Uncommon (10.20%)
,
Lua/Circulus (Survival) Extra,Lua/Circulus (Survival) Extra
Rotation A,Rotation A
5X Lua Thrax Plasm,Very Common (100.00%)
Rotation B,Rotation B
5X Lua Thrax Plasm,Very Common (100.00%)
Rotation C,Rotation C
5X Lua Thrax Plasm,Very Common (100.00%)
,
Kuva Fortress/Nabuk (Defense),Kuva Fortress/Nabuk (Defense)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Neo F2 Relic,Uncommon (10.00%)
Neo Z10 Relic,Uncommon (10.00%)
Neo S18 Relic,Uncommon (10.00%)
Neo K6 Relic,Uncommon (10.00%)
Neo K7 Relic,Uncommon (10.00%)
Neo D8 Relic,Uncommon (10.00%)
Neo N23 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Hornet Strike,Rare (6.67%)
Reflex Coil,Rare (6.67%)
Deep Freeze,Rare (6.67%)
North Wind,Rare (6.67%)
Hell's Chamber,Rare (6.67%)
Streamline,Rare (6.67%)
Shocking Touch,Rare (6.67%)
200 Endo,Rare (6.67%)
Axi H6 Relic,Rare (6.67%)
Axi G11 Relic,Rare (6.67%)
Axi G10 Relic,Rare (6.67%)
Axi B6 Relic,Rare (6.67%)
Axi G12 Relic,Rare (6.67%)
Axi L6 Relic,Rare (6.67%)
Axi A17 Relic,Rare (6.67%)
Rotation C,Rotation C
Vital Sense,Rare (2.26%)
Metal Auger,Rare (2.26%)
Ravage,Rare (2.26%)
Stretch,Rare (2.26%)
Handspring,Rare (2.26%)
Convulsion,Rare (2.26%)
Split Chamber,Rare (2.26%)
Continuity,Rare (2.26%)
Master Thief,Rare (2.26%)
400 Endo,Rare (2.26%)
Axi H6 Relic,Uncommon (11.06%)
Axi G11 Relic,Uncommon (11.06%)
Axi G10 Relic,Uncommon (11.06%)
Axi B6 Relic,Uncommon (11.06%)
Axi G12 Relic,Uncommon (11.06%)
Axi L6 Relic,Uncommon (11.06%)
Axi A17 Relic,Uncommon (11.06%)
,
Kuva Fortress/Taveuni (Survival),Kuva Fortress/Taveuni (Survival)
Rotation A,Rotation A
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
"3,000 Credits Cache",Uncommon (25.00%)
400 Endo,Uncommon (25.00%)
Rotation B,Rotation B
Steel Fiber,Rare (6.67%)
Stretch,Rare (6.67%)
Serration,Rare (6.67%)
Hell's Chamber,Rare (6.67%)
Hornet Strike,Rare (6.67%)
Flow,Rare (6.67%)
Split Chamber,Rare (6.67%)
Stabilizer,Rare (6.67%)
Neo F2 Relic,Rare (6.67%)
Neo Z10 Relic,Rare (6.67%)
Neo D8 Relic,Rare (6.67%)
Neo S18 Relic,Rare (6.67%)
Neo K6 Relic,Rare (6.67%)
Neo K7 Relic,Rare (6.67%)
Neo N23 Relic,Rare (6.67%)
Rotation C,Rotation C
Pistol Ammo Mutation,Rare (4.00%)
Arrow Mutation,Rare (4.00%)
Rifle Ammo Mutation,Rare (4.00%)
Sniper Ammo Mutation,Rare (4.00%)
Shotgun Ammo Mutation,Rare (4.00%)
Axi H6 Relic,Rare (8.00%)
Axi G11 Relic,Rare (8.00%)
Axi G10 Relic,Rare (8.00%)
Axi B6 Relic,Rare (8.00%)
Axi G12 Relic,Rare (8.00%)
Axi L6 Relic,Rare (8.00%)
Axi A17 Relic,Rare (8.00%)
Harrow Neuroptics Blueprint,Uncommon (12.00%)
Harrow Systems Blueprint,Uncommon (12.00%)
,
Kuva Fortress/Tamu (Disruption),Kuva Fortress/Tamu (Disruption)
Rotation A,Rotation A
100X Kuva,Very Common (100.00%)
Rotation B,Rotation B
200X Kuva,Very Common (100.00%)
Rotation C,Rotation C
350X Kuva,Very Common (95.00%)
Universal Medallion,Rare (5.00%)
,
Kuva Fortress/Dakata (Caches),Kuva Fortress/Dakata (Caches)
Rotation A,Rotation A
"10,000 Credits Cache",Very Common (100.00%)
Rotation B,Rotation B
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (11.06%)
400 Endo,Uncommon (11.06%)
400 Endo,Rare (2.01%)
400X Circuits,Uncommon (12.65%)
400X Rubedo,Uncommon (12.65%)
300X Plastids,Uncommon (12.65%)
Rotation C,Rotation C
600 Endo,Uncommon (10.79%)
600 Endo,Uncommon (10.79%)
600 Endo,Uncommon (10.79%)
600 Endo,Rare (3.67%)
Orokin Cell,Uncommon (10.79%)
Gallium,Uncommon (10.79%)
Neurodes,Uncommon (10.79%)
Cyclone Kraken,Uncommon (10.79%)
2X Orokin Cell,Rare (3.67%)
2X Gallium,Rare (3.67%)
2X Neural Sensors,Rare (3.67%)
Argon Crystal,Rare (3.67%)
Tellurium,Rare (3.67%)
Nitain Extract,Rare (2.00%)
Xiphos Avionics Blueprint,Legendary (0.50%)
,
Kuva Fortress/Pago (Spy),Kuva Fortress/Pago (Spy)
Rotation A,Rotation A
"2,500 Credits Cache",Uncommon (20.00%)
Harrow Neuroptics Blueprint,Uncommon (16.67%)
Steady Hands,Uncommon (13.33%)
Stabilizer,Uncommon (13.33%)
Power Throw,Uncommon (13.33%)
Stretch,Uncommon (13.33%)
200 Endo,Uncommon (10.00%)
Rotation B,Rotation B
Untraceable,Uncommon (10.00%)
Runtime,Uncommon (10.00%)
Scorch,Uncommon (10.00%)
Thermite Rounds,Uncommon (10.00%)
Frostbite,Uncommon (10.00%)
Frigid Blast,Uncommon (10.00%)
Arrow Mutation,Uncommon (10.00%)
Sniper Ammo Mutation,Uncommon (10.00%)
Shotgun Ammo Mutation,Uncommon (10.00%)
Covert Lethality,Uncommon (10.00%)
Rotation C,Rotation C
Meso P14 Relic,Uncommon (11.06%)
Meso G5 Relic,Uncommon (11.06%)
Meso M4 Relic,Uncommon (11.06%)
Meso P13 Relic,Uncommon (11.06%)
Meso B8 Relic,Uncommon (11.06%)
Meso W3 Relic,Uncommon (11.06%)
Meso C9 Relic,Uncommon (11.06%)
Neo F2 Relic,Rare (3.22%)
Neo Z10 Relic,Rare (3.22%)
Neo D8 Relic,Rare (3.22%)
Neo S18 Relic,Rare (3.22%)
Neo K6 Relic,Rare (3.22%)
Neo K7 Relic,Rare (3.22%)
Neo N23 Relic,Rare (3.22%)
,
Kuva Fortress/Garus (Rescue),Kuva Fortress/Garus (Rescue)
Rotation A,Rotation A
Phase Specter Blueprint,Very Common (100.00%)
Rotation B,Rotation B
Force Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Cosmic Specter Blueprint,Very Common (100.00%)
,
Sanctuary/Sanctuary Onslaught (Sanctuary Onslaught),Sanctuary/Sanctuary Onslaught (Sanctuary Onslaught)
Rotation A,Rotation A
Khora Chassis Blueprint,Rare (8.33%)
300 Endo,Rare (9.17%)
Corpus Depository Scene,Rare (9.17%)
Grineer Sealab Centrifuge Scene,Rare (9.17%)
Lith N14 Relic,Rare (9.17%)
Lith W3 Relic,Rare (9.17%)
Lith G8 Relic,Rare (9.17%)
Lith T10 Relic,Rare (9.17%)
Lith R4 Relic,Rare (9.17%)
Lith H9 Relic,Rare (9.17%)
Lith C10 Relic,Rare (9.17%)
Rotation B,Rotation B
Synthetic Eidolon Shard,Rare (9.09%)
Khora Neuroptics Blueprint,Rare (9.09%)
300 Endo,Rare (9.09%)
Grineer Settlement Artillery Scene,Rare (9.09%)
Meso P14 Relic,Rare (9.09%)
Meso G5 Relic,Rare (9.09%)
Meso M4 Relic,Rare (9.09%)
Meso P13 Relic,Rare (9.09%)
Meso B8 Relic,Rare (9.09%)
Meso W3 Relic,Rare (9.09%)
Meso C9 Relic,Rare (9.09%)
Rotation C,Rotation C
Khora Systems Blueprint,Uncommon (11.28%)
Khora Blueprint,Uncommon (11.28%)
600 Endo,Rare (9.68%)
Neo F2 Relic,Rare (9.68%)
Neo Z10 Relic,Rare (9.68%)
Neo D8 Relic,Rare (9.68%)
Neo S18 Relic,Rare (9.68%)
Neo K6 Relic,Rare (9.68%)
Neo K7 Relic,Rare (9.68%)
Neo N23 Relic,Rare (9.68%)
,
Sanctuary/Elite Sanctuary Onslaught (Sanctuary Onslaught),Sanctuary/Elite Sanctuary Onslaught (Sanctuary Onslaught)
Rotation A,Rotation A
400 Endo,Rare (9.48%)
Lato Vandal Receiver,Rare (2.01%)
Kuva Fortress Crevice Scene,Rare (5.53%)
Lua Balcony Scene,Rare (5.53%)
Lith N14 Relic (Radiant),Rare (9.48%)
Lith W3 Relic (Radiant),Rare (9.48%)
Lith G8 Relic (Radiant),Rare (9.48%)
Lith T10 Relic (Radiant),Rare (9.48%)
Lith R4 Relic (Radiant),Rare (9.48%)
Lith H9 Relic (Radiant),Rare (9.48%)
Lith C10 Relic (Radiant),Rare (9.48%)
Meso P14 Relic (Radiant),Rare (5.53%)
Meso G5 Relic (Radiant),Rare (5.53%)
Rotation B,Rotation B
Synthetic Eidolon Shard,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
Meso M4 Relic (Radiant),Uncommon (12.65%)
Braton Vandal Barrel,Rare (4.42%)
Braton Vandal Receiver,Rare (4.42%)
Lato Vandal Blueprint,Rare (2.01%)
Meso P13 Relic (Radiant),Uncommon (12.65%)
Meso B8 Relic (Radiant),Uncommon (12.65%)
Meso W3 Relic (Radiant),Uncommon (12.65%)
Neo Z10 Relic (Radiant),Rare (4.42%)
Neo S18 Relic (Radiant),Rare (4.42%)
Neo D8 Relic (Radiant),Rare (4.42%)
Rotation C,Rotation C
750 Endo,Uncommon (15.18%)
Braton Vandal Stock,Rare (2.01%)
Braton Vandal Blueprint,Rare (2.01%)
Lato Vandal Barrel,Rare (2.01%)
Peculiar Bloom,Rare (2.01%)
Peculiar Growth,Rare (2.01%)
Neo K6 Relic (Radiant),Uncommon (15.18%)
Neo F2 Relic (Radiant),Uncommon (15.18%)
Neo K7 Relic (Radiant),Uncommon (15.18%)
Neo N23 Relic (Radiant),Uncommon (15.18%)
Axi H6 Relic (Radiant),Rare (2.01%)
Axi G11 Relic (Radiant),Rare (2.01%)
Axi G10 Relic (Radiant),Rare (2.01%)
Axi B6 Relic (Radiant),Rare (2.01%)
Axi G12 Relic (Radiant),Rare (2.01%)
Axi L6 Relic (Radiant),Rare (2.01%)
Axi A17 Relic (Radiant),Rare (2.01%)
,
Veil/Flexa (Skirmish),Veil/Flexa (Skirmish)
Rush Repair Drone,Legendary (0.50%)
400 Endo,Uncommon (20.00%)
600 Endo,Uncommon (10.00%)
3X Riven Sliver,Rare (5.00%)
Forma Blueprint,Rare (2.50%)
Lavan Engines Mk Iii,Rare (6.00%)
Lavan Reactor Mk Iii,Rare (6.00%)
Lavan Shield Array Mk Iii,Rare (6.00%)
Lavan Plating Mk Iii,Rare (6.00%)
Vidar Engines Mk Iii,Rare (6.00%)
Vidar Reactor Mk Iii,Rare (6.00%)
Vidar Shield Array Mk Iii,Rare (6.00%)
Vidar Plating Mk Iii,Rare (6.00%)
Neo F2 Relic,Rare (2.00%)
Neo Z10 Relic,Rare (2.00%)
Neo D8 Relic,Rare (2.00%)
Neo S18 Relic,Rare (2.00%)
Neo K6 Relic,Rare (2.00%)
Neo K7 Relic,Rare (2.00%)
Neo N23 Relic,Rare (2.00%)
,
Veil/Flexa (Skirmish) Extra,Veil/Flexa (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Veil/Flexa (Caches),Veil/Flexa (Caches)
Rotation A,Rotation A
400 Endo,Uncommon (25.00%)
600 Endo,Uncommon (15.00%)
Seeker Volley,Rare (4.00%)
Void Hole,Rare (4.00%)
Phoenix Blaze,Rare (4.00%)
Neo F2 Relic,Rare (4.80%)
Neo Z10 Relic,Rare (4.80%)
Neo D8 Relic,Rare (4.80%)
Neo S18 Relic,Rare (4.80%)
Neo K6 Relic,Rare (4.80%)
Neo K7 Relic,Rare (4.80%)
Neo N23 Relic,Rare (4.80%)
Neo V9 Relic,Rare (4.80%)
Axi V10 Relic,Rare (4.80%)
Axi S8 Relic,Rare (4.80%)
Rotation B,Rotation B
Spectra Vandal Blueprint,Rare (8.70%)
Spectra Vandal Barrel,Rare (6.52%)
Spectra Vandal Chassis,Rare (6.52%)
Spectra Vandal Handle,Rare (6.52%)
450 Endo,Uncommon (17.39%)
1200 Endo,Uncommon (13.04%)
450 Endo,Rare (8.70%)
600 Endo,Rare (4.35%)
Ignis Wraith Blueprint,Rare (8.70%)
Neo V9 Relic,Rare (6.52%)
Axi V10 Relic,Rare (6.52%)
Axi S8 Relic,Rare (6.52%)
,
Veil/H-2 Cloud (Skirmish),Veil/H-2 Cloud (Skirmish)
Rush Repair Drone,Legendary (0.50%)
400 Endo,Uncommon (20.00%)
600 Endo,Uncommon (10.00%)
3X Riven Sliver,Rare (5.00%)
Forma Blueprint,Rare (2.50%)
Lavan Engines Mk Iii,Rare (6.00%)
Lavan Reactor Mk Iii,Rare (6.00%)
Lavan Shield Array Mk Iii,Rare (6.00%)
Lavan Plating Mk Iii,Rare (6.00%)
Vidar Engines Mk Iii,Rare (6.00%)
Vidar Reactor Mk Iii,Rare (6.00%)
Vidar Shield Array Mk Iii,Rare (6.00%)
Vidar Plating Mk Iii,Rare (6.00%)
Neo F2 Relic,Rare (2.00%)
Neo Z10 Relic,Rare (2.00%)
Neo D8 Relic,Rare (2.00%)
Neo S18 Relic,Rare (2.00%)
Neo K6 Relic,Rare (2.00%)
Neo K7 Relic,Rare (2.00%)
Neo N23 Relic,Rare (2.00%)
,
Veil/H-2 Cloud (Skirmish) Extra,Veil/H-2 Cloud (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Veil/H-2 Cloud (Caches),Veil/H-2 Cloud (Caches)
Rotation A,Rotation A
400 Endo,Uncommon (25.00%)
600 Endo,Uncommon (15.00%)
Seeker Volley,Rare (4.00%)
Void Hole,Rare (4.00%)
Phoenix Blaze,Rare (4.00%)
Neo F2 Relic,Rare (4.80%)
Neo Z10 Relic,Rare (4.80%)
Neo D8 Relic,Rare (4.80%)
Neo S18 Relic,Rare (4.80%)
Neo K6 Relic,Rare (4.80%)
Neo K7 Relic,Rare (4.80%)
Neo N23 Relic,Rare (4.80%)
Neo V9 Relic,Rare (4.80%)
Axi V10 Relic,Rare (4.80%)
Axi S8 Relic,Rare (4.80%)
Rotation B,Rotation B
Spectra Vandal Blueprint,Rare (8.70%)
Spectra Vandal Barrel,Rare (6.52%)
Spectra Vandal Chassis,Rare (6.52%)
Spectra Vandal Handle,Rare (6.52%)
450 Endo,Uncommon (17.39%)
1200 Endo,Uncommon (13.04%)
450 Endo,Rare (8.70%)
600 Endo,Rare (4.35%)
Ignis Wraith Blueprint,Rare (8.70%)
Neo V9 Relic,Rare (6.52%)
Axi V10 Relic,Rare (6.52%)
Axi S8 Relic,Rare (6.52%)
,
Veil/R-9 Cloud (Skirmish),Veil/R-9 Cloud (Skirmish)
Rush Repair Drone,Legendary (0.50%)
400 Endo,Uncommon (20.00%)
600 Endo,Uncommon (10.00%)
3X Riven Sliver,Rare (5.00%)
Forma Blueprint,Rare (2.50%)
Lavan Engines Mk Iii,Rare (6.00%)
Lavan Reactor Mk Iii,Rare (6.00%)
Lavan Shield Array Mk Iii,Rare (6.00%)
Lavan Plating Mk Iii,Rare (6.00%)
Vidar Engines Mk Iii,Rare (6.00%)
Vidar Reactor Mk Iii,Rare (6.00%)
Vidar Shield Array Mk Iii,Rare (6.00%)
Vidar Plating Mk Iii,Rare (6.00%)
Neo F2 Relic,Rare (2.00%)
Neo Z10 Relic,Rare (2.00%)
Neo D8 Relic,Rare (2.00%)
Neo S18 Relic,Rare (2.00%)
Neo K6 Relic,Rare (2.00%)
Neo K7 Relic,Rare (2.00%)
Neo N23 Relic,Rare (2.00%)
,
Veil/R-9 Cloud (Skirmish) Extra,Veil/R-9 Cloud (Skirmish) Extra
200X Carbides,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Gallos Rods,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Komms,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Veil/R-9 Cloud (Caches),Veil/R-9 Cloud (Caches)
Rotation A,Rotation A
400 Endo,Uncommon (25.00%)
600 Endo,Uncommon (15.00%)
Seeker Volley,Rare (4.00%)
Void Hole,Rare (4.00%)
Phoenix Blaze,Rare (4.00%)
Neo F2 Relic,Rare (4.80%)
Neo Z10 Relic,Rare (4.80%)
Neo D8 Relic,Rare (4.80%)
Neo S18 Relic,Rare (4.80%)
Neo K6 Relic,Rare (4.80%)
Neo K7 Relic,Rare (4.80%)
Neo N23 Relic,Rare (4.80%)
Neo V9 Relic,Rare (4.80%)
Axi V10 Relic,Rare (4.80%)
Axi S8 Relic,Rare (4.80%)
Rotation B,Rotation B
Spectra Vandal Blueprint,Rare (8.70%)
Spectra Vandal Barrel,Rare (6.52%)
Spectra Vandal Chassis,Rare (6.52%)
Spectra Vandal Handle,Rare (6.52%)
450 Endo,Uncommon (17.39%)
1200 Endo,Uncommon (13.04%)
450 Endo,Rare (8.70%)
600 Endo,Rare (4.35%)
Ignis Wraith Blueprint,Rare (8.70%)
Neo V9 Relic,Rare (6.52%)
Axi V10 Relic,Rare (6.52%)
Axi S8 Relic,Rare (6.52%)
,
Veil/Nsu Grid (Skirmish),Veil/Nsu Grid (Skirmish)
Rush Repair Drone,Legendary (0.50%)
400 Endo,Uncommon (20.00%)
600 Endo,Uncommon (10.00%)
3X Riven Sliver,Rare (5.00%)
Forma Blueprint,Rare (2.50%)
Lavan Engines Mk Iii,Rare (6.00%)
Lavan Reactor Mk Iii,Rare (6.00%)
Lavan Shield Array Mk Iii,Rare (6.00%)
Lavan Plating Mk Iii,Rare (6.00%)
Vidar Engines Mk Iii,Rare (6.00%)
Vidar Reactor Mk Iii,Rare (6.00%)
Vidar Shield Array Mk Iii,Rare (6.00%)
Vidar Plating Mk Iii,Rare (6.00%)
Neo F2 Relic,Rare (2.00%)
Neo Z10 Relic,Rare (2.00%)
Neo D8 Relic,Rare (2.00%)
Neo S18 Relic,Rare (2.00%)
Neo K6 Relic,Rare (2.00%)
Neo K7 Relic,Rare (2.00%)
Neo N23 Relic,Rare (2.00%)
,
