Mob,Mod,Chance
,Squad Renew,Ultra Rare (1.12%)
,,
Axio Harpi,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ripload,Very Common (75.88%)
,Scourging Warheads,Rare (7.37%)
,Section Density,Rare (7.37%)
,Raider Matrix,Rare (7.37%)
,Ordnance Cheap Shot,Legendary (0.50%)
,Granum's Nemesis,Legendary (0.50%)
,Revo Reducer,Legendary (0.50%)
,Squad Renew,Legendary (0.50%)
,,
Elite Axio Weaver,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Hyperstrike,Common (41.03%)
,Ion Burn,Common (41.03%)
,Onslaught Matrix,Rare (5.98%)
,Phoenix Blaze,Rare (3.26%)
,Scourging Warheads,Rare (3.26%)
,Warhead,Rare (3.26%)
,Granum's Nemesis,Rare (2.17%)
,,
Axio Weaver,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Hyperstrike,Common (37.94%)
,Ion Burn,Common (37.94%)
,Phoenix Blaze,Rare (7.37%)
,Scourging Warheads,Rare (7.37%)
,Warhead,Rare (7.37%)
,Granum's Nemesis,Rare (2.01%)
,,
Elite Taro Weaver,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ion Burn,Common (59.66%)
,Predator,Rare (9.24%)
,Section Density,Rare (9.24%)
,Onslaught Matrix,Rare (9.24%)
,Cruising Speed,Rare (9.24%)
,Revo Reducer,Ultra Rare (1.68%)
,Conic Nozzle,Ultra Rare (1.68%)
,,
Taro Weaver,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Protective Shots,Uncommon (22.92%)
,Predator,Uncommon (22.92%)
,Section Density,Uncommon (22.92%)
,Onslaught Matrix,Uncommon (22.92%)
,Crimson Fugue,Rare (4.17%)
,Revo Reducer,Rare (4.17%)
,,
Elite Vorac Basilisk,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Overloader,Common (34.55%)
,Quicklock,Uncommon (16.25%)
,Fire Suppression,Uncommon (16.25%)
,Munitions Vortex,Uncommon (15.10%)
,Waveband Disruptor,Uncommon (15.10%)
,Blackout Pulse,Ultra Rare (1.37%)
,Worm's Torment,Ultra Rare (1.37%)
,,
Vorac Basilisk,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Quicklock,Uncommon (25.29%)
,Overloader,Uncommon (25.29%)
,Fire Suppression,Uncommon (25.29%)
,Munitions Vortex,Uncommon (11.06%)
,Waveband Disruptor,Uncommon (11.06%)
,Blackout Pulse,Legendary (0.67%)
,Worm's Torment,Legendary (0.67%)
,Sentient Scalpel,Legendary (0.67%)
,,
Vorac Gox,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Countermeasures,Very Common (71.82%)
,Orgone Tuning Matrix,Rare (3.16%)
,Ironclad Matrix,Rare (3.16%)
,Waveband Disruptor,Rare (3.16%)
,Raider Matrix,Rare (3.16%)
,Battle Forge,Rare (3.16%)
,Form Up,Rare (3.16%)
,Battle Stations,Rare (3.16%)
,Intruder Stasis,Rare (3.16%)
,Worm's Torment,Rare (2.59%)
,Tether,Legendary (0.29%)
,,
Elite Vorac Harpi,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ripload,Common (59.66%)
,Waveband Disruptor,Uncommon (18.49%)
,Onslaught Matrix,Uncommon (18.49%)
,Worm's Torment,Legendary (0.67%)
,Sentient Scalpel,Legendary (0.67%)
,Forward Artillery,Legendary (0.67%)
,Revo Reducer,Legendary (0.67%)
,Squad Renew,Legendary (0.67%)
,,
Vorac Harpi,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ripload,Very Common (75.88%)
,Waveband Disruptor,Uncommon (11.06%)
,Onslaught Matrix,Uncommon (11.06%)
,Ordnance Cheap Shot,Legendary (0.67%)
,Worm's Torment,Legendary (0.67%)
,Squad Renew,Legendary (0.67%)
,,
Elite Vorac Weaver,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ion Burn,Very Common (79.89%)
,Waveband Disruptor,Rare (5.82%)
,Indomitable Matrix,Rare (5.82%)
,Phoenix Blaze,Rare (3.17%)
,Warhead,Rare (3.17%)
,Worm's Torment,Rare (2.12%)
,,
Vorac Weaver,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ion Burn,Very Common (75.88%)
,Phoenix Blaze,Rare (5.53%)
,Waveband Disruptor,Rare (5.53%)
,Warhead,Rare (5.53%)
,Indomitable Matrix,Rare (5.53%)
,Worm's Torment,Rare (2.01%)
,,
Comet Shard,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,Bleeding Edge,Common (37.94%)
,15 Endo,Common (37.94%)
,Blazing Steel,Rare (7.37%)
,Energy Amplifier,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Dual Rounds,Rare (2.01%)
,,
Corpus Ramsled,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Shatter Burst,Common (35.53%)
,Flow Burn,Uncommon (31.06%)
,Breach Quanta,Uncommon (16.71%)
,Fire Suppression,Uncommon (16.71%)
,,
Exo Raider,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Tempered Blade,Common (37.94%)
,Energy Inversion,Common (37.94%)
,Conductive Blade,Rare (7.37%)
,Resolute Focus,Rare (7.37%)
,Electrified Barrel,Rare (7.37%)
,Deadly Efficiency,Rare (2.01%)
,,
Exo Raider Carver,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Tempered Blade,Common (37.94%)
,Energy Inversion,Common (37.94%)
,Conductive Blade,Rare (7.37%)
,Resolute Focus,Rare (7.37%)
,Electrified Barrel,Rare (7.37%)
,Deadly Efficiency,Rare (2.01%)
,,
Exo Raider Eviscerator,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Tempered Blade,Common (37.94%)
,Energy Inversion,Common (37.94%)
,Conductive Blade,Rare (7.37%)
,Resolute Focus,Rare (7.37%)
,Electrified Barrel,Rare (7.37%)
,Deadly Efficiency,Rare (2.01%)
,,
Kosma Raider,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Tempered Blade,Common (37.94%)
,Parallax Scope,Common (37.94%)
,Conductive Blade,Rare (7.37%)
,Ammo Chain,Rare (7.37%)
,Electrified Barrel,Rare (7.37%)
,Hyperion Thrusters,Rare (2.01%)
,,
Kosma Raider Carver,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Tempered Blade,Common (37.94%)
,Parallax Scope,Common (37.94%)
,Conductive Blade,Rare (7.37%)
,Ammo Chain,Rare (7.37%)
,Electrified Barrel,Rare (7.37%)
,Hyperion Thrusters,Rare (2.01%)
,,
Gyre Raider,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Extend,Very Common (75.88%)
,Conductive Blade,Rare (5.53%)
,Quick Reload,Rare (5.53%)
,Electrified Barrel,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Sabot Rounds,Rare (2.01%)
,,
Gyre Raider Carver,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Extend,Very Common (75.88%)
,Conductive Blade,Rare (5.53%)
,Quick Reload,Rare (5.53%)
,Electrified Barrel,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Sabot Rounds,Rare (2.01%)
,,
Gyre Raider Eviscerator,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Extend,Very Common (75.88%)
,Conductive Blade,Rare (5.53%)
,Quick Reload,Rare (5.53%)
,Electrified Barrel,Rare (5.53%)
,Auxiliary Power,Rare (5.53%)
,Sabot Rounds,Rare (2.01%)
,,
Kosma Raider Eviscerator,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Tempered Blade,Common (37.94%)
,Parallax Scope,Common (37.94%)
,Conductive Blade,Rare (7.37%)
,Ammo Chain,Rare (7.37%)
,Electrified Barrel,Rare (7.37%)
,Hyperion Thrusters,Rare (2.01%)
,,
Exo Gokstad Officer,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Magazine Extension,Very Common (76.47%)
,Cutting Edge,Rare (5.04%)
,Glacial Edge,Rare (5.04%)
,Rubedo-Lined Barrel,Rare (5.04%)
,Polar Magazine,Rare (5.04%)
,Automatic Trigger,Ultra Rare (1.68%)
,Kinetic Diversion,Ultra Rare (1.68%)
,,
Kosma Gokstad Officer,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Energy Inversion,Very Common (75.88%)
,Cutting Edge,Rare (4.42%)
,Glacial Edge,Rare (4.42%)
,Rubedo-Lined Barrel,Rare (4.42%)
,Polar Magazine,Rare (4.42%)
,Energy Amplifier,Rare (4.42%)
,Astral Autopsy,Rare (2.01%)
,,
Gyre Gokstad Officer,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Magazine Extension,Very Common (79.82%)
,Cutting Edge,Rare (5.26%)
,Rubedo-Lined Barrel,Rare (5.26%)
,Polar Magazine,Rare (5.26%)
,Dual Rounds,Ultra Rare (1.75%)
,System Reroute,Ultra Rare (1.75%)
,Glacial Edge,Legendary (0.88%)
,,
Kosma Butcher,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Tempered Blade,Very Common (76.47%)
,Furor,Rare (5.04%)
,Poisonous Sting,Rare (5.04%)
,Venomous Clip,Rare (5.04%)
,Enhanced Durability,Rare (5.04%)
,Automatic Trigger,Ultra Rare (1.68%)
,Efficient Transferral,Ultra Rare (1.68%)
,,
Exo Butcher,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Magazine Extension,Very Common (76.47%)
,Furor,Rare (5.04%)
,Poisonous Sting,Rare (5.04%)
,Venomous Clip,Rare (5.04%)
,Superior Defenses,Rare (5.04%)
,Deadly Efficiency,Ultra Rare (1.68%)
,Critical Focus,Ultra Rare (1.68%)
,,
Exo Elite Lancer,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Magazine Extension,Very Common (76.47%)
,Furor,Rare (5.04%)
,Poisonous Sting,Rare (5.04%)
,Venomous Clip,Rare (5.04%)
,Superior Defenses,Rare (5.04%)
,Deadly Efficiency,Ultra Rare (1.68%)
,Critical Focus,Ultra Rare (1.68%)
,,
Exo Eviscerator,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Bleeding Edge,Common (37.94%)
,Argon Plating,Common (37.94%)
,Blazing Steel,Rare (5.53%)
,Shell Rush,Rare (5.53%)
,Rubedo-Lined Barrel,Rare (5.53%)
,Quick Reload,Rare (5.53%)
,Morphic Transformer,Rare (2.01%)
,,
Exo Supressor,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Bleeding Edge,Common (37.94%)
,Argon Plating,Common (37.94%)
,Blazing Steel,Rare (5.53%)
,Shell Rush,Rare (5.53%)
,Rubedo-Lined Barrel,Rare (5.53%)
,Quick Reload,Rare (5.53%)
,Morphic Transformer,Rare (2.01%)
,,
Kosma Elite Lancer,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Tempered Blade,Very Common (76.47%)
,Furor,Rare (5.04%)
,Poisonous Sting,Rare (5.04%)
,Venomous Clip,Rare (5.04%)
,Enhanced Durability,Rare (5.04%)
,Automatic Trigger,Ultra Rare (1.68%)
,Efficient Transferral,Ultra Rare (1.68%)
,,
Kosma Eviscerator,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Bleeding Edge,Common (37.94%)
,Argon Plating,Common (37.94%)
,Blazing Steel,Rare (5.53%)
,Shell Rush,Rare (5.53%)
,Combustion Rounds,Rare (5.53%)
,Superior Defenses,Rare (5.53%)
,Hollowed Bullets,Rare (2.01%)
,,
Gyre Butcher,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Energy Inversion,Very Common (79.82%)
,Poisonous Sting,Rare (5.26%)
,Resolute Focus,Rare (5.26%)
,Venomous Clip,Rare (5.26%)
,Archgun Ace,Ultra Rare (1.75%)
,Marked Target,Ultra Rare (1.75%)
,Furor,Legendary (0.88%)
,,
Gyre Elite Lancer,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Energy Inversion,Very Common (79.82%)
,Poisonous Sting,Rare (5.26%)
,Resolute Focus,Rare (5.26%)
,Venomous Clip,Rare (5.26%)
,Archgun Ace,Ultra Rare (1.75%)
,Marked Target,Ultra Rare (1.75%)
,Furor,Legendary (0.88%)
,,
Gyre Eviscerator,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Sudden Impact,Uncommon (25.29%)
,Magazine Extension,Uncommon (25.29%)
,Argon Plating,Uncommon (25.29%)
,Blazing Steel,Rare (7.37%)
,Combustion Rounds,Rare (7.37%)
,Superior Defenses,Rare (7.37%)
,Ballista Measure,Rare (2.01%)
,,
Gyre Supressor,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Sudden Impact,Uncommon (25.29%)
,Magazine Extension,Uncommon (25.29%)
,Argon Plating,Uncommon (25.29%)
,Blazing Steel,Rare (7.37%)
,Combustion Rounds,Rare (7.37%)
,Superior Defenses,Rare (7.37%)
,Ballista Measure,Rare (2.01%)
,,
Kosma Supressor,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Bleeding Edge,Common (37.94%)
,Argon Plating,Common (37.94%)
,Blazing Steel,Rare (5.53%)
,Shell Rush,Rare (5.53%)
,Combustion Rounds,Rare (5.53%)
,Superior Defenses,Rare (5.53%)
,Hollowed Bullets,Rare (2.01%)
,,
Elite Kosma Flak,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ion Burn,Common (59.66%)
,Predator,Rare (9.24%)
,Section Density,Rare (9.24%)
,Onslaught Matrix,Rare (9.24%)
,Cruising Speed,Rare (9.24%)
,Revo Reducer,Ultra Rare (1.68%)
,Conic Nozzle,Ultra Rare (1.68%)
,,
Kosma Flak,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ion Burn,Very Common (75.88%)
,Predator,Rare (5.53%)
,Section Density,Rare (5.53%)
,Onslaught Matrix,Rare (5.53%)
,Cruising Speed,Rare (5.53%)
,Revo Reducer,Ultra Rare (1.01%)
,Conic Nozzle,Ultra Rare (1.01%)
,,
Elite Exo Flak,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Shatter Burst,Common (34.55%)
,Breach Quanta,Uncommon (16.25%)
,Fire Suppression,Uncommon (16.25%)
,Orgone Tuning Matrix,Uncommon (15.10%)
,Flow Burn,Uncommon (15.10%)
,Particle Ram,Ultra Rare (1.37%)
,Artillery Cheap Shot,Ultra Rare (1.37%)
,,
Exo Flak,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Shatter Burst,Uncommon (25.29%)
,Breach Quanta,Uncommon (25.29%)
,Fire Suppression,Uncommon (25.29%)
,Orgone Tuning Matrix,Uncommon (11.06%)
,Flow Burn,Uncommon (11.06%)
,Particle Ram,Ultra Rare (1.01%)
,Artillery Cheap Shot,Ultra Rare (1.01%)
,,
Elite Exo Taktis,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Munitions Vortex,Common (36.97%)
,Quicklock,Uncommon (29.83%)
,Void Cloak,Uncommon (29.83%)
,Blackout Pulse,Ultra Rare (1.12%)
,Sentient Scalpel,Ultra Rare (1.12%)
,Death Blossom,Ultra Rare (1.12%)
,,
Exo Taktis,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Quicklock,Common (37.94%)
,Void Cloak,Common (37.94%)
,Munitions Vortex,Uncommon (22.11%)
,Blackout Pulse,Legendary (0.67%)
,Sentient Scalpel,Legendary (0.67%)
,Death Blossom,Legendary (0.67%)
,,
Elite Exo Outrider,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Countermeasures,Common (51.52%)
,Tether,Rare (6.35%)
,Ironclad Matrix,Rare (6.35%)
,Indomitable Matrix,Rare (6.35%)
,Battle Forge,Rare (6.35%)
,Form Up,Rare (6.35%)
,Battle Stations,Rare (6.35%)
,Intruder Stasis,Rare (6.35%)
,Ordnance Velocity,Ultra Rare (1.35%)
,Granum's Nemesis,Ultra Rare (1.35%)
,Turret Velocity,Ultra Rare (1.35%)
,,
Exo Outrider,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Countermeasures,Common (51.52%)
,Tether,Rare (6.35%)
,Ironclad Matrix,Rare (6.35%)
,Indomitable Matrix,Rare (6.35%)
,Battle Forge,Rare (6.35%)
,Form Up,Rare (6.35%)
,Battle Stations,Rare (6.35%)
,Intruder Stasis,Rare (6.35%)
,Ordnance Velocity,Ultra Rare (1.35%)
,Granum's Nemesis,Ultra Rare (1.35%)
,Turret Velocity,Ultra Rare (1.35%)
,,
Elite Exo Cutter,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Void Hole,Uncommon (20.00%)
,Granum's Nemesis,Uncommon (20.00%)
,Worm's Torment,Uncommon (20.00%)
,Sentient Scalpel,Uncommon (20.00%)
,Revo Reducer,Uncommon (20.00%)
,Seeker Volley,Beyond Legendary (Under Review) (0.00%)
,Conic Nozzle,Beyond Legendary (Under Review) (0.00%)
,,
Exo Cutter,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Seeker Volley,Very Common (91.67%)
,Void Hole,Ultra Rare (1.39%)
,Granum's Nemesis,Ultra Rare (1.39%)
,Worm's Torment,Ultra Rare (1.39%)
,Sentient Scalpel,Ultra Rare (1.39%)
,Revo Reducer,Ultra Rare (1.39%)
,Conic Nozzle,Ultra Rare (1.39%)
,,
Elite Kosma Taktis,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Overloader,Common (34.55%)
,Ripload,Uncommon (16.25%)
,Hyperstrike,Uncommon (16.25%)
,Ironclad Matrix,Uncommon (10.07%)
,Warhead,Uncommon (10.07%)
,Protective Shots,Uncommon (10.07%)
,Crimson Fugue,Rare (2.75%)
,,
Kosma Taktis,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Overloader,Uncommon (25.29%)
,Ripload,Uncommon (25.29%)
,Hyperstrike,Uncommon (25.29%)
,Ironclad Matrix,Rare (7.37%)
,Warhead,Rare (7.37%)
,Protective Shots,Rare (7.37%)
,Crimson Fugue,Rare (2.01%)
,,
Elite Kosma Outrider,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Countermeasures,Very Common (75.88%)
,Tether,Rare (3.16%)
,Onslaught Matrix,Rare (3.16%)
,Indomitable Matrix,Rare (3.16%)
,Battle Forge,Rare (3.16%)
,Form Up,Rare (3.16%)
,Battle Stations,Rare (3.16%)
,Intruder Stasis,Rare (3.16%)
,Ordnance Velocity,Ultra Rare (1.01%)
,Turret Velocity,Ultra Rare (1.01%)
,,
Kosma Outrider,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Countermeasures,Very Common (75.88%)
,Tether,Rare (3.16%)
,Onslaught Matrix,Rare (3.16%)
,Indomitable Matrix,Rare (3.16%)
,Battle Forge,Rare (3.16%)
,Form Up,Rare (3.16%)
,Battle Stations,Rare (3.16%)
,Intruder Stasis,Rare (3.16%)
,Ordnance Velocity,Ultra Rare (1.01%)
,Turret Velocity,Ultra Rare (1.01%)
,,
Elite Kosma Cutter,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Quicklock,Common (59.66%)
,Predator,Uncommon (12.32%)
,Section Density,Uncommon (12.32%)
,Raider Matrix,Uncommon (12.32%)
,Crimson Fugue,Ultra Rare (1.68%)
,Forward Artillery,Ultra Rare (1.68%)
,,
Kosma Cutter,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Predator,Uncommon (22.92%)
,Section Density,Uncommon (22.92%)
,Raider Matrix,Uncommon (22.92%)
,Cruising Speed,Uncommon (22.92%)
,Forward Artillery,Rare (4.17%)
,Conic Nozzle,Rare (4.17%)
,,
Elite Gyre Flak,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Quicklock,Uncommon (29.83%)
,Fire Suppression,Uncommon (29.83%)
,Munitions Vortex,Uncommon (18.49%)
,Onslaught Matrix,Uncommon (18.49%)
,Blackout Pulse,Ultra Rare (1.68%)
,Ordnance Cheap Shot,Ultra Rare (1.68%)
,,
Gyre Flak,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Quicklock,Common (37.94%)
,Fire Suppression,Common (37.94%)
,Munitions Vortex,Uncommon (11.06%)
,Onslaught Matrix,Uncommon (11.06%)
,Blackout Pulse,Ultra Rare (1.01%)
,Ordnance Cheap Shot,Ultra Rare (1.01%)
,,
Elite Gyre Taktis,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ion Burn,Common (47.89%)
,Scourging Warheads,Uncommon (27.91%)
,Ripload,Uncommon (22.52%)
,Worm's Torment,Legendary (0.85%)
,Squad Renew,Legendary (0.85%)
,Conic Nozzle,Beyond Legendary (Under Review) (0.00%)
,,
Gyre Taktis,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Ripload,Common (37.94%)
,Ion Burn,Common (37.94%)
,Scourging Warheads,Uncommon (22.11%)
,Worm's Torment,Legendary (0.67%)
,Conic Nozzle,Legendary (0.67%)
,Squad Renew,Legendary (0.67%)
,,
Elite Gyre Outrider,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Countermeasures,Very Common (72.41%)
,Onslaught Matrix,Rare (4.10%)
,Indomitable Matrix,Rare (4.10%)
,Battle Forge,Rare (4.10%)
,Form Up,Rare (4.10%)
,Battle Stations,Rare (4.10%)
,Intruder Stasis,Rare (4.10%)
,Ordnance Velocity,Legendary (0.87%)
,Worm's Torment,Legendary (0.87%)
,Turret Velocity,Legendary (0.87%)
,Tether,Legendary (0.37%)
,,
Gyre Outrider,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Countermeasures,Very Common (72.41%)
,Onslaught Matrix,Rare (4.10%)
,Indomitable Matrix,Rare (4.10%)
,Battle Forge,Rare (4.10%)
,Form Up,Rare (4.10%)
,Battle Stations,Rare (4.10%)
,Intruder Stasis,Rare (4.10%)
,Ordnance Velocity,Legendary (0.87%)
,Worm's Torment,Legendary (0.87%)
,Turret Velocity,Legendary (0.87%)
,Tether,Legendary (0.37%)
,,
Elite Gyre Cutter,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Hyperstrike,Common (37.94%)
,Ion Burn,Common (37.94%)
,Phoenix Blaze,Rare (7.37%)
,Warhead,Rare (7.37%)
,Section Density,Rare (7.37%)
,Revo Reducer,Rare (2.01%)
,,
Gyre Cutter,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Hyperstrike,Common (37.94%)
,Ion Burn,Common (37.94%)
,Phoenix Blaze,Uncommon (11.06%)
,Warhead,Uncommon (11.06%)
,Ordnance Cheap Shot,Ultra Rare (1.01%)
,Revo Reducer,Ultra Rare (1.01%)
,,
Kuva Lich Agor Rok (Level 0 - 69),Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pressure Point,Common (37.94%)
,Vitality,Common (37.94%)
,Reflex Coil,Rare (7.37%)
,Heated Charge,Rare (7.37%)
,Diamond Skin,Rare (7.37%)
,Heavy Trauma,Legendary (0.67%)
,Streamline,Legendary (0.67%)
,Iron Phoenix,Legendary (0.67%)
,,
Kuva Lich Agor Rok (Level 70 - 79),Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Vitality,Common (48.71%)
,Thief's Wit,Common (48.71%)
,Kinetic Diversion,Legendary (0.52%)
,Hyperion Thrusters,Legendary (0.52%)
,Streamline,Legendary (0.52%)
,Bullet Dance,Legendary (0.52%)
,80 Endo,Legendary (0.52%)
,,
Kuva Lich Agor Rok (Level 80 - 100),Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Shell Rush,Common (45.83%)
,Reflex Coil,Common (45.83%)
,Condition Overload,Ultra Rare (1.67%)
,Master Thief,Ultra Rare (1.67%)
,Four Riders,Ultra Rare (1.67%)
,Defiled Snapdragon,Ultra Rare (1.67%)
,80 Endo,Ultra Rare (1.67%)
,,
Exo Gokstad Pilot,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Magazine Extension,Very Common (76.47%)
,Cutting Edge,Rare (5.04%)
,Glacial Edge,Rare (5.04%)
,Rubedo-Lined Barrel,Rare (5.04%)
,Polar Magazine,Rare (5.04%)
,Automatic Trigger,Ultra Rare (1.68%)
,Kinetic Diversion,Ultra Rare (1.68%)
,,
Kosma Gokstad Pilot,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Energy Inversion,Very Common (75.88%)
,Cutting Edge,Rare (4.42%)
,Glacial Edge,Rare (4.42%)
,Rubedo-Lined Barrel,Rare (4.42%)
,Polar Magazine,Rare (4.42%)
,Energy Amplifier,Rare (4.42%)
,Astral Autopsy,Rare (2.01%)
,,
Gyre Gokstad Pilot,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Magazine Extension,Very Common (79.82%)
,Cutting Edge,Rare (5.26%)
,Rubedo-Lined Barrel,Rare (5.26%)
,Polar Magazine,Rare (5.26%)
,Dual Rounds,Ultra Rare (1.75%)
,System Reroute,Ultra Rare (1.75%)
,Glacial Edge,Legendary (0.88%)
,,
Exo Roller Sentry,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Magazine Extension,Very Common (76.47%)
,Furor,Rare (5.04%)
,Poisonous Sting,Rare (5.04%)
,Venomous Clip,Rare (5.04%)
,Superior Defenses,Rare (5.04%)
,Deadly Efficiency,Ultra Rare (1.68%)
,Critical Focus,Ultra Rare (1.68%)
,,
Gyre Roller Sentry,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Magazine Extension,Very Common (79.82%)
,Cutting Edge,Rare (5.26%)
,Rubedo-Lined Barrel,Rare (5.26%)
,Polar Magazine,Rare (5.26%)
,Dual Rounds,Ultra Rare (1.75%)
,System Reroute,Ultra Rare (1.75%)
,Glacial Edge,Legendary (0.88%)
,,
Kosma Roller Sentry,Mod Drop Chance: 5.00%,Mod Drop Chance: 5.00%
,Tempered Blade,Very Common (76.47%)
,Furor,Rare (5.04%)
,Poisonous Sting,Rare (5.04%)
,Venomous Clip,Rare (5.04%)
,Enhanced Durability,Rare (5.04%)
,Automatic Trigger,Ultra Rare (1.68%)
,Efficient Transferral,Ultra Rare (1.68%)
,,
Anu Brachiolyst,Mod Drop Chance: 7.00%,Mod Drop Chance: 7.00%
,Aviator,Very Common (86.44%)
,Barrel Diffusion,Rare (6.78%)
,Sinister Reach,Rare (6.78%)
,,
Anu Mantalyst,Mod Drop Chance: 7.00%,Mod Drop Chance: 7.00%
,Aviator,Very Common (86.44%)
,Barrel Diffusion,Rare (6.78%)
,Sinister Reach,Rare (6.78%)
,,
Anu Pyrolyst,Mod Drop Chance: 7.00%,Mod Drop Chance: 7.00%
,Aviator,Very Common (86.44%)
,Barrel Diffusion,Rare (6.78%)
,Sinister Reach,Rare (6.78%)
,,
Anu Symbilyst,Mod Drop Chance: 7.00%,Mod Drop Chance: 7.00%
,Aviator,Very Common (86.44%)
,Barrel Diffusion,Rare (6.78%)
,Sinister Reach,Rare (6.78%)
,,
Ionyx,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Overloader,Very Common (88.57%)
,Sentient Scalpel,Uncommon (11.43%)
,,
Gyrix,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Revo Reducer,Very Common (100.00%)
,,
Splintrix,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Sentient Scalpel,Common (50.00%)
,Revo Reducer,Common (50.00%)
,,
Mimic,Mod Drop Chance: 30.00%,Mod Drop Chance: 30.00%
,Smite Corpus,Uncommon (21.43%)
,Smite Corrupted,Uncommon (21.43%)
,Smite Grineer,Uncommon (21.43%)
